Urdu,Roman
لگاتا,lagta
زاد,zaat
ٹھاک,thaam
سُن,sun
مام,mom
قسمت,qismat
راۓ,rai
حوالہ,hawala
دلک,dil
فلے,fly
ڈیوٹی,dute
ناؤ,now
لپ,ljp
جنھیں,gh„z†l>£=jinhain
گائز,guy
ٹریکس,tracks
مچ,match
لیبل,label
قحط,qehat
یہ,ye
ااچھے,ache
رجب,rajab
لکھے,leky
چیگ,change
زمہ,zama
یوح,yon
ترس,taras
مدیحہ,madiha
آۓ,aye
سمول,small
نگر,nagaras
ظفر,zafar
چھپا,chupa
زہ,za
مءی,may
ڈیدیکیٹ,dedicated
ڈالنا,matdalnablkymasjid
قتل,qatal
جدھر,jidhar
بتائیں,bataen
ناٹ,nt
اانہ,enter
ایکسیپت,except
تہمت,tohmat
مانے,mainy
چھوڑ,chor
ستم,sitam
ھے,hy
شمس,haishams1
نظم,nazim
فائدہ,faida
کپتان,capton
میوذک,music
ہیپی,happy
حصہ,hissa
رحمت,ra
عادل,adil
سنٹر,center
سٹک,lipstick
حمد,allhamdo
انسین,insane
جھلک,jhalak
نفرت,nafrat
باکس,box
متحد,muttahid
نئور,never
استعمال,istemal
گرانڈفادر,grandfather
بہن,behan
ایبیوز,abuse
بھٹی,aabhati
کمینے,kamina
کوٹہ,quota
ایرےا,area
فر,fir
ید,yad
چیٹ,chat
کرکٹ,cricket
اینجل,angel
میسجج,msg
ماں,maa
اچھلنا,uchalna
للہ,bismillah
عید,eid
پکڑا,pakda
گاڈ,god
سنائیں,sunaen
فوٹبول,football
امن,ma
مٹھائی,mathai
وت,wha
مدار,madaar
هاکي,hockey
چه,cherry
پن,pan
پڑھتے,pharta
پکڑ,pakar
بلے,baly
نسبت,nisbat
لیٹ,late
آرگؤ,argue
چوز,chose
صد,sad
خلل,khalal
لگاتے,lagaty
فرات,faraat
ایڈمن,admin
بسنے,basny
نہيں,ni
پکستی,pakistani
سوئے,soe
چھوٹ,chot
نیم,name
صم,sum
پوچھوں,pochon
نکل,nikal
جتایا,ehsaanjataya
حلوہ,halwa
رپلاے,reply
اينسوير,answer
شیطان,karnakemanshaitan
گڈ,good
سک,sak007
دکان,dukaan
جیتیں,jeetege4ndshpland
فرمائیں,frmaenge
فائر,fire
ايدر,either
لگن,logun
ہوئی,hui
لگنے,lagny
سم,sim
میل,male
روئے,roye
انجل,angel
نائس,nice
سکهر,sukkur
گم,gum
قطر,qatar
اذیت,azziyati
مہک,mahikm
شئیر,shear
پاساج,passage
هیو,have
انٹی,itni
فائدے,faiday
سیچرڈے,sat
موم,maa
پلس,starplus
وفائی,bewafai
سنے,sony
شکل,shakal
رپلائی,reply
پليس,place
بہانہ,bahana
سبکو,sub
روو,roopa
چھوڑے,chory
آرہے,oupar
فرینڈ,frnd
رائن,rain1
لگانے,lagny
تصور,tasawur
لوؤر,lover
دہ,da
ترے,tery
حادثہ,sehma
گرہوں,jigar
تومجھے,tujhe
آباد,islamabad
طہ,te
جد,sajid
ہوائیں,hawaen
ڈرل,darul
ہاؤس,house
بچانے,bachny
ایزی,easy
ہوجانے,hojaye
چھولے,cholay
ٹاءیم,time
فورجٹ,forget
عرشہ,hai
ماجِد,majid
قاءم,qaim
بلکل,bilkul
مؤو,move
پر,par
علامہ,allama
گۓ,gye
لکی,lucky
رسیو,receive
حکم,hukum
جس,jis
عاصمہ,asma
کدہ,kda
چھو,choo
حئٹ,height
نالائق,nalayaqlog
کمرھ,kamra
بجھ,nebujh
بردار,bro
صدر,saddar
نعمان,noman
ایکسپت,accept
طاقت,taaqat
فرمائی,farmai
گولڈ,ablegoldgood
جنگلوں,haijanglon
ٹوسٹ,2st
طرح,tarah
بانہوں,sub
مس,miss
عاشق,ashiq
محمد,muhammad
ابے,aby
اير,air
اجڑ,dilujjar
تائد,tag
آؤٹ,out
آہی,am
ہنِّی,honey
اپر,par
اولسو,also
دھڑک,dharhak
۱۰,10
فهد,fahad
ہیون,heav3n
مید,made
لعنت,la'anat
مشررف,musharraf
شاخ,replyshakh
گریڈ,grade
ڈیئر,dear
مت,mat
فرینک,frank
دتھ,death
پور,mirpur
ہفتہ,hafta
جنکا,jenake
رنز,rns
مذہب,mazhab
چھری,churi
فادر,father
مائی,my
پڑتے,party
فیکٹری,fctry
عامر,amir
خوشگوار,khusgowar
دعاؤں,duaon
ایریا,area
قوت,quvat
تسلسل,tasalsul
شخس,shaks
ڈي,die
زندہ,zinda
چينل,channels
کيٹ,cat
آئیں,aen
صائمہ,saima
تیا,the
عاصم,asim
لگائی,lagai
سیکسی,sxy
بٹ,but
انسے,say
نن,nan
لائف,life
سرِشام,sar
سؤم,some
ایج20,age
پیجیز,page
طلبہ,talba
مجرم,mujrim
ایٹیٹیوڈ,attitude
انز,ans
جتنی,hotajitni
سخن,sukhan
بلاک,block
پرہیز,perhaz
کمر,kamer
حسن,hassan
کپل,cup
ايوریون,hi
مولوی,molvi
شاولڈ,should
گراؤنڈ,ground
پرل,pal
محسن,mohsin
چیلنج,chalnge
اساسناشن,assassination
ایڈ,add
سنانے,sunany
پٹ,pat
فارورڈ,forward
جنت,jannat
جن,jin
جنازہ,jinaza
آجائیں,ajaen
اینی,any
شئے,shiye
نصرت,nastur
غضب,ghassb
زوال,zawaal
سٹار٠٠٧مجھ,sy
گءے,gai
خالہ,khalasugra9
ڈاوبل,double
عائیشہ,ayesha
کعبہ,kaaba
مخلوق,uskimakhlooq
پرندہ,parinda
لاءک,like
بےعزتی,baezati
بتاو,bato
چائنا,china
ہنسنے,hansny
جوں,jayun
کپ,wcup
علم,age
فنش,finish
زهره,zahra
رائیڈر,rider
سفر,safar
ایور,ever
سبب,sabab
فرنڈ,friend
صادر,sadder
ناشن,nation
کنارہ,kinara
مرہ,mera
بہتر,behtar
لہذا,lihaza
سمٹ,urhesimat
درجن,darjan
اسرائیل,israil
سکس,six
پیج,page
زمانہ,zamana
فائن,fine
ٹکے,tikke
لائن,line
بک,bookz
سرحد,sarhad
سنیے,sunaye
کویٹه,quetta
بھت,bohat
فٹ,fit
فیکس,fix
سٹ,sit
بیڈ,bad
انسانوں,ins0no
دان,sadan
مگر,magar
انسول,uncle
از,is
گوشت,ge3
ٹائم,time
پلیز,plz
ہسسی,hey
بواۓ,boy
سن,sun
ہپی,happy
قد,qad
پرنسز,princes
لائے,lain
دوائیں,duaen
تب,tab
اوٹ,out
غصہ,gusa
شرم,sharam
مدینہ,madina
بِن,bin
مطلب,matlab
شیّر,share
جاوید,javed
ہم,hum
آئے,aaey
سٹايل,style
قدرت,qudrat
گُم,gum
معاف,maf
لڑکوں,larkiyon
چھڑنے,chrny
ہزارہ,hazaraloverz
بونے,boy
صدام,saddam
سیزن,season
طلب,talab
بچھڑا,bichra
دھبہ,dhaba
ڈففکلٹ,difficult
تگ,tag
حج,hujjat
خشحالی,khushali
آفِس,office
سالہ,salya
ایش,ash
باۓی,by
کھلاڑی,khiladi
ددی,di
انوایٹ,invite
ستھرا,sms
سیم,same
لایءٹ,light
پوچھتی,pochti
شکریہ,shukariya
مای,my
روزنامہ,detailsroznama
ریز,rays
چھڑا,chura
پوچھنی,puchni
ٹي,tie
ینی,uni
لیزی,lazy
بیلا,sub
کوو,koi
بلینک,blank
ايس,rhe
زہریلی,zehrali
ہیئر,here
ھر,har
انڈکاشن,indication
ینگ,young
صحابه,sahaba
سریل,sariyal
پڑھانے,parhny
پوچھتا,pochta
بردر,bro
سلسلہ,silsila
لڑکے,larky
قطرے,qismat
خار,meinkhaar
مسج,msg
لائین,line
سائیلنٹ,silent
در,dar
وائس,voice
مینی,many
صلح,salah
کہيں,kahin
پنس,penis
صبر,sabar
مچل,machal
هےں,han
پت,pat
اینٹینا,intena
تلے,taly
گرو,netguru
طیبہ,tayaba
فیک,fake
فطرت,fitrat
ریکارڈ,record
هوتيں,hoi
غلاظت,galaazat
الیکشن,election
فرنيچر,furniture
مر,mar
چھوٹی,choti
شکوہ,shikwa
روئیں,royen
جگہوں,jagaon
مرکز,markaz
کائنات,kainat
مچھر,machar
پشاور,peshwar
کروڑ,lak
رلیکسس,relax
حبيب,habib
مائل,maa'il
هم,hum
منفرد,munfarid
حيمين,human
مدّت,muddat
لوو,love
بھلے,lobhaly
ٹاوچ,touch
پسند,pasand
رشتہ,rishta
رک,ruk
جھنگوی,jhangvi
تک,tak
سٹاپ,stop
کچی,chachi
ستر,sattar
ایک,ek
ہاؤ,how
لمٹ,limit
بواے,boy
گھوسٹ,theghostslam
رت,rut
ایج,age
ایجنڈا,ga
جبہ,jab
اڈوس,advice
خضر,khizar
ابيوز,abuse
میکس,mexi
مختصر,mukhtasir
جائے,jaye
نين,nine
تکے,takiye
گئی,gai
لايٹ,light
اٹک,attock
اکتیویت,activate
جاۓ,jae
محور,mehvar
سائلنٹ,silent
دھیان,dehan
چھوٹا,chota
فائرنگ,firing
گئیں,gae
لئو,leave
ڈائٹر,daughter
یں,me
اِسے,isy
گھی,ge
لڑ,lar
لا‍ءف,life
آئینہ,aaina
ہوۓ,hue
خم,urslfkhumari
بلوں,billo
سين,can
سسٹر,sister
فکر,fikar
قسم,qasam
اففففففففف,ya
حجر,hijar
گوار,khushgwar
مودر,mother
کفن,kafan
پپر,paper
گل,gull786
جگہیں,jagay
سلسلے,silsily
فیس,face
ایوان,aivan
یک,yaq
چھپ,chup
پ,ap
ورنہ,warna
بازو,jabrey
ہیری,cherryhazara
کوئ,koi
جيلاوذي,jealousy
گُد,god
غربت,gurbat
نسائی,nisai
دلاور,deliver
ھوئی,hoi
کم,kam
ڈبل,double
یمنی,yamani
لیو,lev
قطرہ,wasiqatra
انجم,and
اذ,is
فکرمند,fikarmand
دلاتے,dilaty
پرسز,princes
ميل,male
فائل,fail
یوز,use
سڈ,side
پڑ,par
پٹاخہ,pathaka
قضا,jaoqaza
قائم,qa'em
نثار,geonisar
مقصد,maqsad
روانڈ,round
پہلو,pehlao
طلبگار,talabgaar
سنائے,sunae
کير,car
محنت,mehnat
کھلنے,khulny
تنہائی,tanhai
فريڈے,friday
ڈاکٹر,dr
حيٹ,hat
گيأڈ,guide
جیون,jevan
ایوری,every
سکو,sho
سولو,solve
لکن,lakin
ٹرأول,travel
پیکج,pakge
انجیل,angle
دربدر,badar
منتظر,muntazir
مرتبہ,martaba
کیوٹ,cute
شکر,shukar
الیکٹرانک,electronicmedia
مکمل,mukammal
مسکن,muskan
کدھر,kidhar
بھٹک,bhattak
قدم,qadam
دل,dil
هین,han
لبر,labour
لپٹ,lipat
گائیں,gain
گوورنمنٹ,govt
طارق,tarap
کيسٹي,caste
ڈاوبٹ,doubt
محب,mahubat
نئی,nai
ی,dil
طلحہ,talha
مقابلہ,mokabala
مقدر,muqadar
ڈرایونگ,driving
بہار,bahaar
گیئں,gayn
چارجر,charger
گیس,gas
مل,mil
ہمہ,huma
گارڈ,safeguard
زنگی,zindgi
گئ,gi
پوئیٹری,poetry
محسنیاد,mohsin
تحت,thasub
لي,lie
ایکٹو,active
ایڈریس,adres
مسسج,msg
الفت,sar
ٹاپک,topic
ہیم,hum
ل,ill
مقام,muqaam
سرو,srve
فِٹ,fit
دوم,skydome
انلمیٹڈ,indian
للٹريٹ,illiterate
انسأڈ,inside
زم,zimka
فھيم,faheem
ابّا,abba
سجدہ,sujda
کونسٹرکشن,construction
عائشہ,ayesha
نائلہ,naila
اپريل,april
ههےے,hai
ائٹي,eighty
کولیج,college
پرست,parast
سیمی,sami
مسلمز,muslims
ویئر,whr
منگنی,magny
اپڈيٹ,update
ہاو,how
مراد,dilmurad
پڑھیں,pak£=£)parhai
فنجر,finger
نظارہ,nazara
پیپرز,papers
ڈرائیور,drivr
وجه,wajah
شائد,shyd
پچھلے,pichle
دلے,dil
رب,rab
مميڈيٹيلي,immediately
کک,kick
نائن,nine
بسسٹ,basit
ٹیکس,taxes
ہائیٹ,that9
بھئ,bhai
بننے,banay
اين,an
مدد,madad
بل,bal
دکھاتے,dukaty
پرکئیٹکل,practical
لٹ,lote
چمن,chaman
ایدمن,admin
جنّت,jannat
ایچ!آی!آی۲,kha
پرسنل,personal
بھولے,bohly
مجمه,majma
اِز,is
کبر,akbar
حر,nhihar
گندے,gandy
منظر,manzar
غیب,ghayab
سکتے,sakty
پاوگے,paaogy
کييوز,cause
بلیو,beliyo
منزل,manzil
بادشاہوں,badshaonki
سلٔور,silver
بدمعاش,badmash
دلبر,dilber
فقط,faqat
سگنل,signal
تہے,thy
پنسل,pencil
شعر,sher
قاری,qadirbux
مائیں,maayen
ڈرنے,drnykabole
ذمہ,zama
چھ,che
عا,bat
شیک,shak
انسين,insane
معاملے,mamlay
پہن,pehan
فارحين,farhan
قائل,qail
گوز,goes
مسلم,muslim
پڑھاتی,parhte
پلين,plan
حرام,ehraam
ٹراے,try
دوائی,dawai
میڈل,madel
الہَّا,allah
فن,skyfunsantoshdost
کمال,kamaal
بچے,bachy
گھنٹہ,ghanta
فولّو,follow
پليڈج,pledge
منصور,msnoor
دلائل,dlail
میسسج,msg
فرقہ,farqaleet
علیشا,it
من,man
حسبیند,husband
چہ,che
ھم,hum
ايسی,isi
لٹل,little
لائٹ,light
گردش,uljhangardish
کائی,koe
اللام,salam
پوءتڑی,poetry
مائینڈ,mind
بوائیز,boy
مریم,mariam
بچو,bhejobecho
جبر,jaber
وائز,voice
يه,ye
سینٹ,decentnaveed
کرم,karam
طعنہ,taana
ٹل,tell
پيس,pace
ٹرے,try
دم,dam
دیول,devil
ريسئو,receive
سماج,smjh
بکا,sabika1
کئی,kai
نۓ,new
سنی,sunny
دِن,din
پوٹ,pvt
ڈوم,skydome
سحر,seher
شاذ,shz
فيٹ,fat
اِم,im
غرض,gharaz
همہ,hmm
سپر,super
لیڈ,skale
لقب,laqab
راجہ,ashraf
فرصت,fursat
کوئن,queen
دیکھی,hogaedekhi
سترہ,sitara
الجھے,ujlay
بوکز,box
لب,lab
باے,by
سائیلینٹ,silent
ٹیکسٹ,txt
موبیک,mobile
جگ,jug
لسن,listen
لہجہ,thalehja
نسان,nishan
اينڈ,and
زحمت,zehmat
فہد,fahad
ملوں,haimillo
تھکی,jaothaki
کاپی,cpy
گروپس,grps
اچھل,uchal
ڈر,dar
پتھر,pathar
اينجؤاے,enjoy
وغیرہ,wagera
قلم,heqalm
کیبل,cable
جسٹن,justin
سننے,sun'ne
ھنر,hunar
خبر,khabar
صفائی,safai
ٹیگ,tag
انفارمشن,information
کوارٹر,quater
بخیریت,ba
سائٹ,site
فين,fine
قربت,qurbat
بس,bus
تریکس,tracks
جذبہ,jazba
کوئی,koi
ماج,image
لوکڈ,locked
انٹينشن,intention
نیہں,nhi
لمحہ,lamha
پریزنٹیشن,presntatn
وورڈ,password
توبہ,tobakiya
لاہور,lhr
ماءی,my
پروائی,purwaai
پی,pk
حمزه,hamza
چھوا,chua
چھوڑا,chora
يساج,usage
نہی,nai
پنناسول,pinnacle
ممکن,mumkin
ورڈز,words
بھائیوں,bhaion
ستاتے,sataty
ایشیا,asia
لاۓ,la'aay
حل,hal
کمبخت,kambakhatbahir
ارڈر,order
سمندر,samandar
مٔي,may
پس,pas
آوروں,hainauron
کہہ,keh
نقاب,naqaab
دهی,sindhi
بھائیو,bhaio
تاب,betab4u
مرہم,marham
بکش,bakhsh
وٹ,what
ايٹ,eat
بچھا,bicha
گیو,gave
پو,gepoetri
دعا,dua
کڑکٹ,cricket
جزیرے,jazery
وقوف,bywaqof
لائق,laa'iq
قرینہ,qarina
جلن,jalan
شہ,haisheh
مہینے,month
چھوڑو,choro
کرييٹ,create
بلیک,black
۱۲۴اؤشا۸۹,124
هولو,hello
انسٹیٹوٹ,insitute
اسلم,asalam
تھینک,thank
کمپیوٹر,computer
نک,nick
نم,num
بہت,bohat
اَبدُّلہا,nan
کیئر,tc
چیپٹر,chapter
پرنسپل,principal
بیر,tabeer
ورک,ntwrk
صبح,subah
مثال,misaal
تن,tan
بچھڑے,becharay
پچھلا,pichla
لدھیانوی,ludhyanvi
گیم,game
جہلم,jhelum
اان,un
ڈرائیو,drives
زو,z0o
حادث,hadees
میجِک,magic
ایڈٹ,edit
سراسر,sara'sar
مغل,mughal
فاصِل,fasil
ااپنے,haapna
بلبل,bulbul2
ساءیلنٹ,silent
آصِف,asif
غلط,galat
ستارہ,kisitara
نس,nice
فخر,fakhur
راونڈ,round
جب,jab
فروري,february
مانگو,ktm
بنانے,banany
ختم,khatam
دِدّ,did
بڑاہی,barhai
غزنوی,ghaznavi2
ہنکس,thanks
کزن,kazan
پھیرا,pehra
لارج,large
مطلق,mutaliq
بتائے,btaega
محفوظ,bkbh1mehfoz
سنّت,sunnat
فلاح,saifullah77
رگ,rahger
چارہ,paya!chara
قصے,qissay
محرک,muharak
کاٹیکٹ,contact
اُس,us
کاز,bcz
جمعرات,jumerat
مفلس,muflis
ذلت,zillat
کھیلتے,khaltay
نبوت,nabuwat
رہتیں,reheta
نه,na
جاذب,jaazib
رٹس,rates
ایکسپٹ,accept
الیاس,bakhairilyasshah
لن,lun
چھے,chaye
چينج,change
نائیٹ,night
چیت,chat
معاویہ,mavia
محبت,muhabbat
لائیں,line
ڈیز,c”des
گاٹ,got
یه,ye
پاۓ,paey
شاہد,shaid
دھکّا,dhaka
جائیں,jain
ایز,as
امّت,ummat
کنول,kanwal
کامل,skan
الٔو,alive
رہ,reh
میت,mayyat
مچھروں,machron
سوسائیٹی,societykoi
بسی,bassi
سٹایل,style
چندہ,chanda
زرہ,zara
لؤو,love
میوزک,music
سہ,seh
یز,is
ماے,my
رووز,roz
نمبر,number
محل,mahal
ملک,malik
۵۰آپ,50
کٹ,cut
نائٹ,night
بتاؤں,baton
یل,aik
طرف,taraf
خزانے,gayekhazaane
منگوا,mangva
کالر,killer
نُٹ,not
گرم,garam
زے,zax
ویدر,weather
پیئیں,payenge
کنورٹ,convert
مستقبل,hmry
اِنٹرو,intro
جلے,diljaly
سائیٹ,website
کونسی,k0nsi
ایپس,apps
تجربات,zaat
اترنے,usaysagar
ایکسپریس,express
پِنجرا,pinjra
ٹیگس,tags
تعلیم,education
عروہ,urooa
ایران,iran
بھیجو,bejo
کوکک,kick
يٹٹربيٹي,attribute
حویلی,havali
یہر,year
راوی,ravidear
پرو,private
سنبھل,sambhal
مینوئل,manual
پائیدار,paidaar
زر,shahzaar
ار,vania
اوڑھ,oarh
عنقریب,unqareeb
کھیلا,karte!hum
نسب,amenmrfn
نعمت,4ndz
سٔٹ,sight
نسخے,jisnay
رنگت,zarad
فالو,follow
انویسٹیگیشن,investigation
جج,judge
کیک,snkk
فٔٹ,fight
عوض,ewiz
سيٹيرڈے,saturday
اگ,8swal
وائیرس,virus
ديست,dost
انیبوڈی,with
چھپاتا,chupata
بیک,back
انگیز,magar
ائیر,year
ميچ,match
لیبر,labour
ہلکا,khuram
لینڈ,4ndshpland
رضوی,allrizvi
رنڈی,kory
ٹٔم,time
جیز,jazz
بزنس,busines
عدل,gudaljesani
منزلیں,jism
توجہ,cncrtrate
وون,von3
يٹٹراسٹٔو,attractive
لیکچر,lacture
یوکی,lucky
جاورنيي,journey
انکالاب,bhai
ایڈوانس,advance
تفصیل,detail
ادارے,daira
يونيورسٹي,university
بیلنس,balance
فرئینڈز,friends
یحییٰ,hainprince98bhai
جلتا,dhagabolajalta
اکامپل,example
زُبیر,zubair
وعدوں,vaadon
آئینے,aienay
گرام,gaya
اپشن,option
اینجلس,angelzz
انجیرننگ,engineering
ٹاورسٹ,tourist
رس,letilarke
ایڈمشن,admission
راولپنڈی,rwp+isb
نؤومبير,november
پھیلائی,pelai
بندی,bhaio
کرینگے,karangyplz
پوزیشن,position
کرپشن,khatme
اسسسلم,slam
عظم,uzma
آیڈیا,idea
محترم,warahmatullahmuhtram
رخان,rehna
عظمہ,uzma
صوبہ,salme
چھٹیاں,chutiyan
گِو,give
ٹاورنامنٹ,tournament
اومان,romaan
کھولا,nikleq
سوچے,s0chay
عبرت,bara
آئینی,aini
رہوں,bikhar
پنشوں,pension
سائیں,bolasaien
پہنچے,punhchy
ہورہی,rahi
اویس,owaisshah89
ہزاروں,mashghalay
اِگزیمز,exam
مارننگ,morning
ایڈورڈ,edwward
اپسے,thanks
اکیس,amxamix
رین,never
کانیرو,kong
ڈاون,down
پاکٹ,tounkopocket
امتحاں,start
وِد,with
کھڑے,keerry
پین,0000fun(ghazal)pen
اسپيک,speak
آئندہ,ainda
سافٹوئر,software
ٹارچ,torch
کونیکشن,purchase
عشا,esha
سیلف,introduc
وزن,uska
حماد,bhulo(bekan
فرشتہ,1farista
گاہے,diamondguyisay
ہاٹ,hottttmra
ایمرجنسی,cardiac
لیول,ailmranx
بلاگ,chemistryblog
ایگزام,exam
رینک,rank
آہ,gaiaaaa
ایٹرکشین,attraction
سبی,dostn
بولتا,b0lta
سِٹی,city
اينبيٹي,anxiety
عزل,tips
سَم,some
ایٹ,other
تحفے,gift
عظمیٰ,uzma
گڑھ,gadha
سروس,service
ایے,absar
مہمند,ajmalmmd
تعارف,intro
عون,sar0n
ؤور,over
اہنے,apne
انر,owner
عبداللہ,hadis
نچوڑ,loonphir
چھوڑیں,chorain
ڈھونڈتا,kodunta
عثمان,usman
اتارے,otaray
کامرس,c0merce
ٹاون,town
مشن,mohsin
اخیر,akeer
کتابیں,books
قانون,mutabik
مہرہ,qaimchatmyra
کچہری,karn
شہری,gisherilandchopaal
اصلی,real
یوٹوپیا,utopia
سائنس,science
حول,hall
الیہ,ap(s
یگزیمز,result
شش,sssshhh
سعودیہ,afghanistan
بیگ,(lishbag
چھڑانے,chernay
گینگ,gang
الہ,chaheay
ئوريوني,everyone
عمر,umar
کالج,college
ریزرو,reserve
آکشن,section
دہلی,dali
ڈی,dmps
هُورّر,horror
اِنفو,info
ديرسڈے,thursday
ٹیپ,pinklovetip
اولاد,ulad
چھونے,choonay
کنکشن,connection
راکی,rocky
بہتے,bataye
نيٹيرال,natural
اونر,owner
سسر,sara
سوئمنگ,swimmingpool
اکپلوسون,explosion
ہندوستان,nahihar
ووٹ,vote
نئے,naye
پوتی,prinda
رزلٹ,result
میچ,match
ٹيم,pakistani
اخبار,akbar
سمی,student
بوائے,pehleb0y
يٹٹورنيي,attorney
ئوننگ,evening
زائد,zaidsmart2
يونيٹڈ,united
عظمت,dahar
ہدایت,jahe'n
ایوننگ,evening
تکسی,taxes
آئیندہ,ainda
ڈھونڈو,dundo
میچز,matches
لکھی,successfully
اکزسٹ,exist
یپ,fever
اولین,3avilian
ایگذوربینٹ,love
دونگا,d0nga
برائی,bhihaar
ٹوجدر,together
ڈئولوپ,develop
ایبل,send
بھیجتے,bajtay
ایکسٹرا,extra
سپیسیلی,song
آمدید,warna
ایمان,eman
عارف,brothr'sarif
مُسلمز,muslims
اتھر,amazing
حائل,childhood
یوزر,user
مئ,salam
پھیلا,paila
زخمی,zahkme
امکان,rahen
ڈکشنری1,dictionary
ودر,other
قافلہ,muskurata
اگلے,chup
داون,down
ناردرن,nrthrn
یونیورسٹی,univrsity
ابن,daod
وائرس,virus
اڈوانٹاج,advantage
مارنگ,morning
ارتھ,jagng
ہفتے,hame
فٔو,five
سئونٹي,seventy
میونسپل,muncipal
ہوگئے,h0gy
ائر,study
انوٹاشن,invitation
حسين,shaher
يونئورسي,universe
نٔٹ,night
اونچا,uncha
آکسیجن,oxygen
نیشنل,intrnational
سانگ,song
کیٹس,cats
لئے,liye
علاوه,elawa
ہینڈ,hand
لیکر,welcm
داوسانڈ,thousand
٢٢,sindh22
ایکو,ecosub
آئمہ,aima(a
فیشن,fashion
جنوب,mashriqmagribshumaljunoob
ن,mumkin
انوسینٹ,salam
اِنتڑو,intro
ياورسيلف,yourself
ایٹم,atom
٩,aswadsapnag9
بدتمیزی,batmeezi
اگینسٹ,islam
یوزڈ,against
جہنم,funlandjahanum
نائین,ninecutshahzad
پالیسیاں,policyion
بلو,chemistryblog
رد,earthridder
اوشن,ocean
اوراق,oraaq
یونِٹ,unit
داود,2davdaas
میلوں,giletmse
بورڈ,broadcast
اوور,loverr
لئیے,liye
چھوڑنے,chodney
اسپرٹيال,spiritual
ائی,die4pak
دیس,dob08
ہوگے,h0gae
ووٹي,vote
گنبد,hungumbad
بزی,busy
وڈیو,video
پکچر,picture
