Urdu,Roman
سئورال,several
اسپيسال,special
تل,maintum
ہوبا,sahar
تاجکستان,hindustan
چاہ,chaaaaaaaa
پیرنٹس,parents
حنیفہ,mzhab
ایکشن,section4
جیسمین,jasmine1
رجسٹر,registr
کيرڈ,card
سودائی,soadayidhoondta
عیاں,mein
انڈوں,ghonslay
میڈم,madam
سکسٹي,sixty
اکرم,bhoslyaman
سٹينگ,setting
قدموں,aankhe
اُن,sunsandil
ابھرے,obharay
لیب,udaslab
آسم,main
اونپوچھ,none
چھپانے,chupanay
سٹارسلام,salam
عمارت,faseelen
مینجر,manager
ذانگ,zong
گھاس,gusa
اجازت,this
اجڈ,aged
بخشے,bakshay
اِسپیک,speak
عمال,lana
وائبریشن,follow
ایئر,year
اوٹکري,outcry
سشول,school
ڈیٹا,data
۱۰۰,k100
کٔم,come
کلمہ,kro1)kalma
ڈیوڈ,davdaas
سنتے,asul
رئپلاۓ,reply
ننبر,number
سانپ,bichho
ايرتھ,earth
اوران,uraan
وسیع,upny
بھولا,bola
شہک,shaukat
تصویریں,tasveerainphir
عضو,ajao
اکپينسٔو,expensive
ایجوکیشن,education
آیات,murad
اونلاین,online
اوپن,open
اغوا,kidnap
ایوانے,dewaane
ہوم,hmpg
ہز,this
ماونٹين,mountain
ووڈ,void
لۓ,liye
عمرزئی,beauty
فائی,fai
مٔٹ,might
سہتے,tamasha
ہیک,hack
اسپيڈ,speed
يونئورسٹي,university
مآءیند,mind
اُساما,usama
اسپلٹ,split
مجال,zaman
ایر,year
لٔور,liver
اوپر,upar
راک,rock
ائٹ,eight
لاڑکانا,larkana
ٹيرن,turn
جوﻻٔي,july
انفو,info
چیکو,chekoo5
ون,one
پڑے,pare
پول,pol
نونی,none
کرتی,krti
کیجیے,kejye
روپا,roopa
الليرنگ,alluring
قبض,qbz
مررید,married
سادگی,saadgimeri
بھنگ,bhang
میں,main
١٠٠٠,1000
نھیں,nahi
لاسٹنگ,lasting
فلوير,flower
جیب,jaib
شکست,shikast
نگری,nagri
سہیل,sohail
ریبل,rebel
مطالعہ,mutala
رنجش,ranjish
جیتنے,jety
گوریلا,goreela786ali
باہر,bahir
پيوپل,people
پکایا,pakaya
بھٹکنے,bhataknay
اٹھیں,uthen
بوجھ,bojh
سانی,sani
سیا,saya
اصول,asool
مہتاب,mhtab
ٹھنڈا,thanda
لگنا,lagna
لڑنے,lrny
کتابوں,kitabon
دریا,darya
جيسٹس,justice
مارتے,marty
کمانڈ,command
رکھتی,rakhti
اکیلے,akele
اگر,agr
رابی,rabi
یر,yr
دتا,dita
ریجیکٹ,reject
چاغی,chaghi1islamabd
ه,hyye
تیز,taiz
لوہے,lohe
امجد,amjid
رکهتے,rakhte
رانجھے,ranjhay
بیٹری,bettary
ٹوڈے,today
سری,sari
مسالا,masala
تنہا,tanha
سانڈے,sunday
عالم,aalam
الینا,alin8
ہاته,hath
حضرات,hzrat
بابا,baba
طنز,tanz
پيٹرول,petrol
وابسطہ,wabasta
سادے,side
کاغذ,kaghaz
لمحوں,lamhon
مورگن,morgunmeri
تصو,taso
ابسنس,absence
۱,1
بھر,bhar
نیکی,neki
یاران,yaraan
دلاتا,dlata
سردار,srdar
پکڑنے,pkrnay
بیچارے,bichare
پاگلوں,paglon
لینا,lena
انڈر,undrwere
رومںٹک,romantic
ڈانٹ,dant
یزید,yazeed
وپپريسون,oppression
کپڑوں,kapro
هال,hal
آصف,asif
ٹیم,team
دورانی,duarani
سمجھو,smjho
دوبارہ,dobara
چیزوں,chezon
کہو,kaho
مسکرا,muskra
حیا,haya
گلوبل,global
ریما,rema
بیٹھو,betho
مریض,mareez
کھاتے,khaty
کتا,kuta
میمن,memon
بیٹه,baith
تو,to
توڑنا,torna
مغرور,maghrur
ہوگئی,hogi
باهر,bahar
بچپن,bachpan
ٹھنڈی,thandi
بجتی,bajti
خوا,khwa
کوالٹي,quality
انسورريکٹ,incorrect
برتن,brtan
مسکت,mscit
ملو,milo
دعوا,dawaa
دروازے,drwazay
پلے,playboy
خمینی,khumaini
يسيفيل,useful
خوابوں,khwabon
کونفرم,confirm
جولائی,july
پیغام,paigham
ممبر,membr
بہنا,behna
عام,aam
گرمی,garmi
سٹورم,storm
لوٹو,loto
کرسی,kursi
انڈو,ando
ورڈ,wrd
غفلت,ghaflat
بولیں,bolen
پکانے,pakaane
اپکو,apko
ورگنال,original
جھٹ,jhot
انتظام,intazam
بھای,bhai
سیکھے,sekhy
قاسم,qasim
واٹر,water
چو,choo
ونگ,wang
نوشی,noshee
غمگین,ghamgeen
جانتے,jante
آوٹ,out
ہسبنڈ,husband
ان,un
کاش,kash
پھیلی,paheli
کیللر,killer
ٹیلی,telenor
اکیلی,akeli
دکھایا,dukhaya
ساره,sara
ٹابل,table
گجرانوالا,gujranwala
لاٹر,later
مزدور,mazdoor
اڑی,ari
ملتے,milte
شد,shid
اسے,usay
آخر,akhir
جذبات,jazbat
ماحول,mahol
چوہدری,ch
مربی,mrb
آہن,aahn
برفی,barfee
بتانا,btana
زیوس,zeus
رھا,raha
گیاہ,gaya
آلات,aalaat
دہلیز,dehleez
ساحل,sahil
يير,year
پنگا,panga
اوبیڈی,e
نیو,new
چیک,chek
کوکا,coca
سڑکوں,sarkon
سنڈے,sunday
شخص,shakhs
وکيپي,occupy
بدی,budai
کیٹی,kiti
ہنسا,hansa
معلوم,maloom
گری,giri
سیریل,seriali
پنجاب,punjab
لاذي,lazy
عزتی,bazti
گڑھی,garhi
تسی,tusi
توں,tu
٢٨,28
ذيرو,zero
سنبھال,sanbhal
بحرانی,behrani
لکیریں,lakeerain
نپال,nepal
ہاں,han
انوگف,enough
نوٹس,notice
٣٠٠,300
سنار,sinar
16,16
مردوں,mardon
بیٹی,beti
ساجن,sajan
ہارٹ,heart
نيمبير,number
بیت,beet
کمار,kumar
اٹھایا,uthaya
نیلم,neelam
مارکیٹ,market
ٹونگيي,tongue
روزانہ,rozana
ممبرز,membrz
پڑھنے,parhne
کما,kamaw
بیٹے,bety
اکسيس,access
بیوٹی,beauty
ستا,sta
پختون,pukhtoonkhva
اختیار,ikhtiyar
وہے,wahey
یارر,yar
پڑتی,parti
لوھا,loha
باتھ,bath
ادھو,adhora
بیکار,bekar
ماؤں,maaon
ہبہ,hbh
وو,wo
دیکھو,dekho
هونے,hone
یاد,yad
شام,sham
لطف,lutf
زبانی,zubani
بجلی,bijli
انکليڈي,include
درمیان,darmian
سا,sa
گانے,gane
احوال,ahwal
پکانا,pakana
تازی,tazi
کہنے,kehne
ممبروں,membro
رید,reed
حرا,hira
پار,paar
رکھو,rakho
نہر,nehr
بریانی,baryani
جایا,jaya
نادانی,nadani
هوتا,hota
کھلے,khuley
کوٹ,kot
ساں,san
مینس,means
اليرٹ,alert
چٹنی,chatni
ہجوم,hajoom'e'dostan
1,1
دروغ,darogh
شیعہ,sheya
اللاه,allah
خاکی,khake
جوش,josh
لیفٹ,lift
عمران,imran
بھری,bhari
تلاش,talash
بت,bt
انتھ,an
ھوا,hua
حاصل,hasil
بوڈی,body
لکھیں,likhen
ہان,han
واجب,wajib
حساب,hisab
فیصل,faisal
شانت,shanti
واپڈا,wapda
کب,kb
ضمیر,zameerkon
سہا,sahara
ہمدرد,humdard
مارري,marry
نظارے,nazarechopal
روبرو,rubaro
آسودگی,aasoodgi
گنے,gine
اداس,udas
بو,boy
تاکہ,ta
ناواقف,nawaqif
ھاتھ,hath
راس,ras
ريميمبير,remember
دادی,dadi
کومپلٹ,complete
غیروں,ghairon
نکلے,nikle
مرسی,mercy7halka
ہاتے,hate
پٹھانوں,pathano
١٠,10
کفایت,kafiyat
ہی,hi
چوزہ,choza
لیڈی,ledy
ملیں,milenge
چاہتے,chahte
رہتا,rehta
ریکوسٹ,request
ميمون,memon
گرین,green
آرہی,a
فور,for
محمّد,m
سی,c
نو,no
آپس,aps
کیو,q
جناب,janab
ٹھہرو,thehro
علان,ilaan
ذی,zy
جینی,jenai
وعدہ,wada
ردا,rida
اٹھا,utha
وسلام,wasalam
حجرے,hujre
چاند,chand
ستوں,ston
بے,be
فري,free
طرار,traz
صرف,sirf
دھونی,dhoni
ببلی,bubli
چارم,charming
۱۹۹۹,1999
کہن,khan
آنچ,aanch
حسب,hasb
گريف,grief
کھیلی,kheli
ریشم,resham
بہادر,bahadur
ذيل,zeal
تاڑ,taar
سومرا,somra
کينٹري,country
عادت,aadat
اپن,apun
تھرٹي,thirty
١٤,14
فارغ,farag
پیس,peace
ٹریٹ,treat
سینگ,seng
سلینتھ,silent
شروع,shuru
لونگی,loun
ونڈو,window
شھد,shahd
ربیکا,rabica
وہیلر,whealr
کوپی,copy
٧,7
انڈیا,india
ویل,wel
دفع,dafa
قبولیت,qaboliat
وادي,wadi
راحت,rahat
تبدیل,tabdeel
رپورٹ,report
سونا,suna
امانت,amanat
حدیثِ,hadees
مزاحیہ,mzahya
شون,shown
سینے,sene
شریف,shareef
عدنان,adnan
تمھاری,tmhari
زیل,zeal
شي,she
پریشانی,pryshani
انو,suno
شادابی,shadabitumhein
مینے,mene
بڑی,bari
کپڑے,kapre
ہما,huma
دونٹ,dont
ر,r
شادی,shadi
چوریاں,choriyan
سٹانڈ,stand
انیس,anis
سالی,sali
ٹوٹا,tota
30,30
ساما,saima
دوزخی,dozkhi
حوٹ,hot
عباس,abass
لیتے,letay
سونیا,sonia
جتنے,jitne
بجھا,bujha
فاحيم,faheem
گانا,gana
روتا,rota
فریب,fareb
بتایا,btaya
آس,aas
سٹين,stain
گرلس,girls
اسکا,uska
فرض,farz
منٹ,mint
طاہر,tahir
انجيسٹس,injustice
نفرتوں,nafratonka
گیٹ,getsensiblehi
آیا,aya
مہندی,mehndi
پہنچ,pohanch
رهی,rhi
ميرے,mere
فاملي,family
جے,j
نیچے,nechy
بوڑھی,borhi
منيٹي,minute
بین,behn
گہری,gehri
بال,bal
دانت,dant
جہاز,jahaz
سنسیر,sincere
کرٹين,curtain
دونوں,dono
سمجھایا,samjhaya
هے,hai
شہرت,shuhrat
باغ,baagh
مات,maat
جوي,joy
دیکھتے,dekhte
بجانا,bjana
آبی,aabi
افغانستان,afghanistan
ہونا,hona
پسی,pseibbpu
بیہودہ,behoda
والسلام,w
گوم,gum
نان,nan
کھا,kha
عمل,amal
کھڑا,khara
آں,aan
ازاں,azaan
جذب,jazb
اٹھتے,uthte
ٹانگیں,tangy
پھولوں,phoolon
ویسے,wese
پڑھاتا,parhata
بورن,born2love
کڑیاں,kuriyan
پاکستانی,pakistani
جتنا,jitna
پوانٹ,point
لال,laal
ستاروں,sitaron
بدنصیب,badnasib
تھنگ,thing
سرکار,sarkar
حفاظت,hifazat
خو,khu
برابر,barabar
پينچ,punch
مانند,maanind
ڈرنا,drna
خیالوں,khayalon
شو,shoo
کروٹ,krwat
مانگا,manga
کشش,kashish
راب,rab
کري,cry
بوبی,boby786
ہنی,honey
بنک,bunk
برو,bro
حيرڈ,heard
اسم,asim
پرانا,purana
سييڈ,syed
ریپلاے,reply
حو,ho
گجرات,gujraat
شدید,shadeed
جاتا,jata
سکتی,sakti
بیا,bia
ذکر,zikr
ح,happy
انکنون,unknown
اظہار,izhaar
جاننا,jan'na
جانے,jane
وار,waar
موہ,mo
نیٹورک,network
بھیجا,bheja
لؤڈ,load
بیٹا,beta
کہانی,kahani
تمہارے,tumhary
سیند,send
آنی,ani
موجود,mojood
آونگا,aa'oonga
یکی,yaki
چا,cha
سہارا,sahara
ہرٹ,hurt
نعش,nasha
ادھورے,adhore
پاتی,pati
پهر,phr
دھمال,dhammal
نها,naha
بابر,baber
ستاس,stas
آدھی,adhi
کرنا,krna
چلا,chala
شباب,shabab
دوزخ,dozakh
کاندهار,kandhar
ہیروز,heroz
غار,ghar
بولنے,bolne
مارنے,marne
فنڈ,find
کالا,kala
حالات,halaat
لیتی,leti
وکٹوں,wicto
خلوص,khaloos
شارق,shariq
روکی,roki
آجاتا,ajata
سان,saani
غور,ghour
محبوب,maheboob
بیچتا,bechta
لڑکی,larki
بیٹھے,bethe
سیکھ,seekh
سخی,sakhi
دھوپ,dhoop
وکیل,wakeel
اقرار,iqraar
مورخہ,morkha
پرندے,parinde
دیکھوں,dekhun
دیرا,dera
تمکو,tumko
بروتھر,brother
دکھا,dikha
نقصان,nuqsan
عزاب,azab
گزرا,guzra
اڑتے,6urte
لگاو,lagao
پیو,pio
زنگو,zingoo
با,ba
گھوڑا,ghora
باطل,batil
مٹھا,mutha
روح,rooh
اشتہار,ishthr
بننا,banna
پڑھی,parhi
ڈرٹی,durtyguy345
را,raat
ٹھوکر,thokar
ہزار,hazar
نالی,naali
یہیں,yhi
حبیب,habibjaan
جوف,jauf
ظاہر,zahir
ہیلتھ,health1
رسم,rasm
تين,teen
واٹ,wat
دھم,dhammal
سٹارز,starz
گرمیوں,garmiyon
بات,bat
پیاسا,pyasa
تفری,tafre
چاہتی,chahti
موہر,mohar
چاہوگے,chahoge
ماتم,matam
حي,he
مونڈے,monday
سہی,sahi
سکھا,sikha
فہیم,fahim
صفدر,safdr
سلطان,sultan
عارضی,aarzi
سورج,suraj
گیت,geet
سودا,soda
وضاحتیں,wazahteinkesi
انٹری,entery
مونا,muna
کھاکر,khakar
رول,rule
اہم,ahem
چنو,chuno
دیو,daiyo
تارے,tare
اڑ,urr
دورہ,dora
چلیں,chlen
پاسٹ,past
انے,aane
جيلي,july
مہنگائی,mehngai
مخالفت,mukhalfat
کرکيٹ,cricket
ینجوے,enjoy
ريپورٹ,report
پشت,pusht
گنتی,ginty
اردو,urdu
تھن,thin
طالب,talib
ھوگا,hoga
کراچی,karachi
فاروق,farooq
مولا,mola
وین,whenevr
پرنٹ,print
خلاد,khiladi
کرو,kro
چوک,chocklate
نقش,naqsh
گولیاں,goliyan
فورس,force
انگ,ang
حمو,humor
اسلی,isly
فرق,farq
سب,sb
آفٹر,aftr
ييل,yell
يٹس,etc
سول,soulzy
نرم,narm
گاوں,gaaon
نکلنا,nklne
تیاری,tayari
ہاہا,hahahahahaha
مورنگ,morning
بزم,bazm
اپپيرانس,appearance
گالی,gali
گوسٹ,ghost
جدو,jado
ٹانگوں,tango
کیا,kya
ڈھلی,dhali
امام,imam
جنهوں,jinho
ارین,aryan
وہی,wohi
فيرنٹير,furniture
ونلي,only
آب,ab
پرسونل,personal
نگاہیں,nigahein
سمیٹ,samait
اٹھے,uthe
گلیوں,galyon
کہی,kahi
ملنا,milna
کهانا,khana
سہیلی,sahilli
بھی,b
گرانڈ,grand
براڈکاسٹ,broadcast
نگاہ,nigah
الان,elan
کہا,kaha
غير,ghair
حوالے,hawale
سوتے,soty
توڑنے,torny
فيسال,faisal
هيں,hain
شانہ,shana
خیال,khayal
سکون,sukun
کامیاب,kaamyab
نٹ,nt
چوری,chori
تیل,tel
احسان,ehsan
بوکس,books4
فلور,floor
ملاتے,milatay
ہوش,hushe
دیکھنے,dekhny
ارضی,arzi
جون,jaaun
بوجھل,bojhal
غلام,gulam
کنارا,kinara
لاس,laso
خادم,khadim
پیا,pia
باز,baaz
فضا,fiza
لامپ,lamp
اتنا,itna
جھوٹے,jhote
الوايز,always
موٹر,motor
کشمیر,kashmir
برداشت,bardasht
سچح,such
جستجو,justaju
چاول,chawal
بورنگ,borng
آزاد,azad
حورسي,horse
ناک,naak
بھاگ,bhag
٤٢,42
حقیقت,haqeeqat
مروا,marwa
ادھ,adhi
انگور,angoor
رانی,rani
6,6
ڈففيرينٹ,different
بناتی,bnati
امیر,ameer
ڈیو,dew
عکس,aks
نادان,nadan
پیتے,peety
بازار,bazar
ڈیڈ,deadmen
چراغوں,charaghoon
داستان,dastan
صحیح,sahi
پیاسے,piyase
چڑھ,charh
پروفسثور,professor
گزاری,guzari
جمی,jmi
ڈيپ,deep
مارا,mara
تیر,teer
پک,pk
جنون,junoon
مبارک,mubarik
ناشتے,nashta
گزرنا,guzrna
دیا,dia
جنکی,jinki
کرتاتھا,krta
واجد,wajid
گمنام,gumnam
نا,na
فورا,fauran
غیر,ghair
درست,drust
قبرستان,qabristan
لاہوری,lahoriye
چاشنی,chashni
ہیںک,he
ناظم,nazim
لگو,lago
حوٹيل,hotel
الزام,ilzaam
دینی,deni
سرگوشیاں,sargoshiyanteri
قابل,qabil
کہاوت,kahawat
گزار,guzar
کاروبار,karobar
واں,wan
محفلوں,mehfilon
ہے,hai
گوبھی,gobhi
کاٹتے,kat'te
کؤ,ko
پروفائل,profile
زرا,zara
۹,9
کیہں,q
امان,eman
شورو,shuru
ڈرو,daro
سلامت,salamat
سمیع,sami
نیٹ,net
پروا,parwa
انھیں,unhain
پھول,phool
نظروں,nzaron
دہشت,dehshat
ناراضگی,narazgi
پھیپھڑوں,phephron
سارے,sare
پڑوسی,parosi
سبھی,sabhi
بيٹ,beat
استقبال,istiqbal
خیر,khair
واقع,waqi
بولتی,bolti
مارچ,march
کھائی,khe
کنو,know
وضو,wazu
کافي,kafee
یوں,yun
اختر,akhtar
اچانک,achank
ڈيتھ,death
جمہوریت,jamhuriyat
ميٹ,meet
سمپل,semple
آیت,aayat
آپکی,apki
مرغا,murgha
اسنے,usne
وا,wa
چیا,cheyia
امت,umat
سوغات,soghat
رج,rj
هیل,hell
غموں,ghamon
ڈوبتے,doobte
کو,ko
رکھ,rakh
آم,aam
ہاشمی,hashmi
سید,syd
بانٹ,bant
پہچانتا,pehchanta
دھول,dhool
يوار,your
رات,raat
نیند,neend
جانياري,january
ضروریات,zaroriat
تقاضوں,taqazoon
ذیشان,zeshan
پاتھ,path
شپ,shap
ميحامميڈ,muhammed
آتا,ata
رضا,raza
ھوں,hon
٦,6
ایسی,aisi
سینما,cinema
اصغر,asghar
انتہا,inteha
کہیں,kahin
منیب,munibe
دولت,dolat
رم,rm
گزرتی,guzarti
نایاب,nayab
بول,bol
رومی,romi
ستان,satana
رشک,rashk
چاہیے,chahiye
پاؤں,paon
احمر,ahmar
فرد,frd
دھوتے,dhote
فرہاد,farhad0786
پیسوں,paiso
پیچھے,peche
کاشف,kashif
خلیفہ,khalifa
حارس,haris
ثوبیہ,sobia
انتقال,inteqal
پڑا,para
اباد,aabad
شرمیلا,shrmila
بیچاری,bechari
منع,mana
وهاں,wahan
پے,pe
صاف,saaf
محدود,mehdood
سلمان,salman
اف,uff
احباب,ehbaab
رومو,rom0
زی,z
جيسٹ,just
تماشا,tamasha
زویہ,zoya
بیبی,bibi
لاگو,lagao
پنک,punkxx
مجید,majeed
ریو,riohfz
ہاے,hi
انلاوفيل,unlawful
گاز,gaze
جوانی,jawani
سوال,sawal
نکالی,nikali
راه,rah
لباس,libas
ڈريکٹ,direct
معصوم,masoom
اشيس,ashes
کہتا,kehta
کردیں,karden
انڈین,indians
نجومی,najumi
اپارٹ,apart
یہاں,yahan
انفڈيل,infidel
بیچینی,bechaini
ہنستا,hansta
دکھی,dakhi
لیا,lia
رھے,rahe
ميرا,mera
گھوڑ,ghor
شرط,shrt
اطلاع,itla
صفحوں,safhon
ہلاک,halak
متا,mata
آوں,aaon
چوس,choos
شامل,shamil
گے,gay
دوڑ,dor
اعتبار,aitbaar
ویت,sweetpari22
جاتی,jati
کترینا,katrina
سوچتا,sochta
لایف,life
ستاتی,stati
موتھ,mother
ہائے,hi
حيللو,hello
جاونگا,jaaongajo
ہارا,haara
احسن,ahsan
پوری,puri
بتاتا,btata
حرف,hurf
مسافر,musafir
دنو,dino
لکھتا,likhta
جھک,jhuk
سند,send
لازم,lazim
کھایا,khaya
گولی,goli
بازی,bazi
نی,nai
ٹھہرا,thehra
ڈو,do
بھوت,bhot
مکان,makan
ساس,saas
هوپ,hope
جعفری,jafri
جویریہ,jaweria
مومی,momigulzindagi
رسوا,ruswa
دنوں,dino
کروانا,krwana
رکا,ruka
خریدار,kharidaar
ضعیف,zaeef
مقابلے,muqably
اثر,asar
انجواے,enjoy
تبھی,tabhi
بوند,boond
جیسوں,jaiso
گستاخ,gustaakh
وش,wish
سوہنی,sohni
پان,pan
نيچے,nechay
نشین,nasheen
مارو,maro
گلا,gila
بيسٹ,best
زمین,zameen
پهلا,phela
نيا,naya
میرے,mere
جور,jor
دینے,dene
داد,daad
شفیق,shafiqahmad
کنگ,king
شاخوں,shakhoon
نشاں,nshan
زات,zaat
جوان,jawan
تباہ,tabah
لپٹی,lipti
موجوں,mauj0on
ضروری,zaroori
تعمير,tameer
ددے,dude
کہوں,kahon
سکي,sky
چين,hychain
ياحيا,yahya
تجارت,tijarat
اشاميڈ,ashamed
٨,8
مونيي,money
اجاڑ,ujar
سٹون,ston
بهے,b
اجڑے,ujre
نوسي,noise
بچوں,bachon
دیاہے,dia
درد,dard
سف,sfjan2
سہتا,sehta
سنا,suna
کیے,ky
کونٹراري,contrary
چیرمین,chairman
لاؤ,lao
يمار,umar
نہانے,nahi
دار,der
دوسرے,dosry
گفتگو,guftugo
ظہبی,zahbi
ابی,abi
ماد,maad
اجر,ajar
صورتحال,soratehal
سالے,saly
بتاتی,btati
کريں,kren
دیتے,dete
پہلے,pehle
تھوڑا,thora
برے,burey
شاید,shayad
بلوک,block11
لینی,leni
ت,t
افواہ,afwa
مے,me
سلو,slow
آجاؤ,ajao
تہارے,tahare
بولوں,bolo
٠,0
حافظ,hafiz
يس,us
بندے,bande
ظلم,zulm
تعریفیں,tarefen
پہچانتے,pehchantay
نزدیک,nazdeek
بلوچ,baloch
وقار,waqar
بیگم,begum
مٹا,mita
شازیہ,shazia
فقیروں,faqiron
موقع,moqa
مانتا,manta
بجے,bje
اصل,asal
ٹورس,tauras
ارشاد,arshad
ٹھکراتے,thukrate
بہروز,behroz
ہوگی,hogi
پڑنا,prna
سيد,syed
مچھ,much
بويفرينڈ,boyfriend
سو,so
مفہوم,mafhoom
بریک,breakup
گود,godh
هي,hykabi
ٹارگٹ,target
کراذي,crazy
فول,fool
خبری,khabrii
سنانا,sunana
آہو,aaho
محتاج,mohtaj
اللہ,allah
دور,door
حير,hear
انٹريسٹ,interest
ریفرنس,refrence
عبدل,abdul
کروائی,krwai
شکوے,shikway
ترمیم,tarmeem
١٨,18
جگنو,jugno
نسلیں,naslain
آسا,aasan
جکا,juka
میری,meri
فیملی,femly
سنہری,sunehri
اتا,ata
مہراب,mehrabpur
چوما,chuma
اچھا,acha
واپس,wapis
ہونی,honey
الٹا,ulta
لالہ,lala
بسانا,basana
زین,zain
هیر,here
سپیڈ,speed
کبوتر,kabotar
لیتا,leta
5,5
انشاء,insha
پھیلانا,phelana
مو,mobile
رحم,rahm
آسیب,aasaib
انٹرسٹد,interested
باتيں,baatein
کن,kn
فقروں,faqiron
گھس,ghus
وہاں,wahan
غافل,ghafil
کراؤ,karao
کہتی,kahti
لالی,lali
سوگ,sog
ٹھیک,thek
حیدرآباد,hyd
نوس,news
ٹييسڈے,tuesday
انڈا,anda
الونرائیڈر,alone
پانی,pani
آنس,ans
قوین,queen
کھلی,kholi
تھرسٹ,thirst
لوڈ,load
پہنانا,pehnana
نوٹ,not
مشتاق,mushtaq
تصوير,tasweer
رنگوں,rangon
عبدللہ,abdullah
پنج,panjtani
انسان,insan
برف,barf
الجھنوں,uljhano
تسلیم,tasleem
فصیح,faseeh
بخشی,bakhshi
وبٹين,obtain
بتاوں,btaon
بیچنے,bechny
فونز,funz
کي,keke
فون,ufone
غرور,ghuroor
ہستیاں,hastiyan
تیار,tayar
ہارنے,harnay
تمھارے,tmhary
ملتان,multan
کھلتے,khiltay
کھو,kho
بنتا,banta
جیسا,jaisa
حواس,hawas
سونگ,song
فرمان,farman
هاے,hi
ارض,arz
گول,gol
طبعیت,tbiyt
اسکو,usko
بہاروں,bahaaron
باربی,barbie
دوٹ,idot
دوسرا,doosra
قصور,kasor
ڈھونڈا,dhoonda
ہیٹ,het
آٹا,atawo
دکھانے,dikhane
ماضی,maazi
چوڑیاں,chore
چانس,chance
رکھنا,rakhna
ٹين,ten
عیدین,aridian
ورٹھ,worthless
تم,tm
کھلتا,khilta
راذا,raza
انداز,andaz
سمرتی,smarty
لمبی,lambi
رضوان,rizwan
لگی,lagi
نینی,niny
پشتون,pashtoonpa
سایہ,saya
اکسيپٹانس,acceptance
بريسٹ,breast
خوبی,khoobi
گاؤں,gaoon
لگاؤ,lagao
دے,de
مسالے,msaly
مزاق,mazak
بهای,bhai
گي,ge
حیرت,hyrat
وادے,wade
ادھار,udhar
بکھری,bikhri
میٹرو,mitro
کبھی,kabhi
جوتے,jotey
