Urdu,Roman
گاڑی,gari
روشنی,roshni
يسياللي,usually
بارش,barish
کوکو,koko
ٹشرٹ,t-shirt
شاباش,shabash
پیاری,pyari
رومانٹک,romantic
پحيسکال,physical
حانڈ,hand
کردو,krdo
شیشے,sheeshay
سيراوس,serious
اد,add
اللاہ,allah
التجا,iltija
پينسل,pencil
سیس,sis
الفاظ,alfaz
تمی,time
ٹھہر,thehre
ڈیٹیل,details
پروانہ,prwana
ماس,mass
نبھا,nibha
خشبو,khushbo
دلاسا,dilasa
سیل,cel
جھوٹ,jhoot
کویٹا,quetta
دماغ,dmagh
چھور,chhor
مخلص,mukhlis
سوے,soe
ٹایم,time
دگنا,dugna
جانتا,janta
حسین,hussain
هوی,hui
سرخ,surkh
انگلش,english
یقین,yaqeen
س,s
پرت,prat
سوپر,super
تھکا,thaka
گلاس,glass
اتار,utar
انہوں,unhon
ساتھ,sath
زمبابوے,zimb
جاری,jari
زرد,zard
ضرور,zarur
صوبے,sube
ابانڈانس,abundance
است,asit
ڈانس,dance
دھماکہ,dhamakha
لکھوں,likhun
پاشا,pasha
خدا,khuda
آدم,adam
بٹھورو,bathoro
نشے,nashe
ترت,trat
قسمیں,qasmein
دیدار,didaar
پویٹری,poetry
نامہ,nama
اطاعت,itaa'at
لاگ,lag
علمی,almi
ستایا,sataya
آف,of
شعبان,shabnam
طوفان,tufaan
نوکر,naukar
شور,shor
ٹهندر,thunder
مافیا,mafia
ڈريس,dress
کچ,kuch
ڈھلتی,dhalti
لگیں,lagain
خاموش,khamosh
انهیں,inhain
بیان,bayan
وني,one
جامی,jami
کوک,quick
چل,chal
سامسنگ,samsung
قادری,qaadri
طالبان,taliban
کنڈی,kundi
ريسي,raise
اشک,ashk
کاٹو,kato
پڑی,pari
معني,manee
گالیاں,galian
ج,jaan
طرفدار,tarafdar
واقعی,waqai
سکی,saki
پروبليم,problem
فوار,four
حوصلے,hosly
سکے,sake
بسر,basr
اذان,azaan
جینے,jeene
کوم,com
کھلا,khila
سویٹ,sweet
اکثر,aksar
زارا,zara
پانے,pane
پھینکتے,phenkte
چوپال,chopaal
ٹوينٹي,twenty
بجا,bja
غاصب,ghasib
اٹ,it
زون,czone
دوا,dua
تلاوت,talawt
نیہ,ne
ليگل,legal
سات,saat
ساڈ,sad
ورلڈ,world
سمجھتی,samajhti
آڑ,aar
بھرا,bhara
مرنا,mrna
سٹوڈنٹس,students
روف,roof
میم,mem
اپرل,april
هیں,hain
بکھرا,bikhra
پیام,peyam
کنڈنيس,kindness
یهاں,yaha
والو,walo
ھی,hi
سندھی,sindhi
آنکھیں,ankhain
بهر,bhar
روٹي,roti
بدنام,badnam
حيلپ,help
ييللو,yellow
انہیں,unhen
میٹنگ,meetingpoint
مک,mk
سگن,sign
يکيال,equal
طوطے,totay
دونو,dono
نگاہوں,nigahon
ٹرک,truck
مان,maan
ریکویسٹ,request
اماذنگ,amazing
نيپال,nepal
ٹوموررو,tomorrow
جو,jo
فورم,form
پنڈی,pendi
احترام,ehataram
اکرام,ikram
لایوو,live
جاگتا,jagta
18,18
آسمان,asman
ہورہا,horaha
زویا,zoya
کیسا,kesa
ہادی,hadi
جھل,jhal
کھانا,khana
بور,bor
لوٹ,lot
حيرٹ,heart
بدولت,badulatwarna
پہچان,pehchaan
اتر,utar
پڑھ,parh
نصیب,naseeb
شیٹ,sheet
سٹانڈارڈ,standard
ہماری,hamari
اچار,achar
مسٹری,mystery
هوتی,hoti
اپکا,apka
کار,car
ڈرنک,drink
٣٠,30
جلیں,jalen
شاہ,shah
بانڈ,bandh
امر,umar
گيارانٹر,guarantor
راتیں,raatain
بھرپور,bahrpoor
رکھی,rakhi
پلکیں,palkain
ریاض,riazs
روتھ,roth
موجودہ,mojooda
کرا,kara
انار,anarkali
ساٹھ,saath
ريٹيرن,return
ظرف,zarfk
بولے,bolay
اوج,arooj
ماضي,mazee
سایا,sayanafrat
ولی,waliullah
توقیر,toqeer
ميحامماڈ,muhammad
بلوا,bulwaon
خلوت,khalwat
چند,chand
لالے,laale
بہی,b
سپنا,sapna
اطمینان,itminan
جاؤ,jao
شب,shab
اررے,array
نیک,nick
کمالیہ,kamalia
رینی,rainy
جھولے,jhooly
شیوا,shewa
انس,ans
ديکھ,dekh
ثبوت,sabot
لاریب,lareb63
کوٹا,quota
حسان,husan
خان,khan
چلتے,chalte
ضبط,zabt
هوا,hua
شکیل,shakil
دخل,dakhl
اپنا,apna
آییں,aain
سینا,cenashahzadi
آپ,ap
جلد,jaldi
تيسرا,teesra
وبا,oba
انسٹانٹ,instant
راز,raz
ہنسی,hansi
ڈارلنگ,darling
رکھتا,rakhta
اینا,aeyna1
ہرا,hera
ڈھل,dhal
جھکا,jhuka
آو,ao
احمد,ahmed
نانا,nana
انصاف,insaf
سانول,sanwal
خوشبو,khushbo
دروازا,darwaza
نشتر,nishter
جانب,janib'e'manzil
مغز,maghz
آے,ae
اسلامیان,islamianstars
اکبر,akbar
کاٹوں,kanto
مورننگ,morning
کھولے,chole
نيڈ,need
دھماکا,dhamaka
٢٤,24
همنشیں,hm
اندازہ,andaza
رين,rain
لا,la
پاوں,pao
ڈالا,dala
خالی,khali
بندگی,bandgi
بندوں,bndon
حوار,hour
وعلیکم,w
آسان,aasan
بہل,behl
ايگيسٹ,august
پکا,paka
ڈيسيمبير,december
آؤ,ao
میٹھا,metha
قرآن,quran
مزدوری,mazduri
کھویا,khoya
شی,shi
الجھ,ulajh
هنی,honey
نومن,noman
سستی,sasti
دانیال,danial
کھلونا,khilona
اسامہ,usama
انکا,unka
کيلڈ,could
کام,kam
ڈاریکٹ,direct
مانگ,maang
افق,ufaq
گناہ,gunah
الٹی,ulti
نے,ne
شم,sham
لانچ,lanch
میرٹ,meri
جنکو,jinko
دانی,dani
فراق,firaq1
ہمیشہ,hamesha
زلفیں,zulfain
پاو,pao
اسپيکٹ,aspect
شرجیل,sharjel
کروڈ,crowd
کروگے,kro
جانباز,janbaz32
دیکھتا,dekhta
سویا,soya
پھیر,pher
نمازوں,nimazo
دوں,doon
واسطے,wastay
دود,dod
راؤ,rao
فیری,fairy
پؤیٹری,poetry
ترمزی,tirmizi
کھلاتے,khilate
وفٹين,often
بچا,bacha
لوسي,loose
ملا,mila
یارو,yaro
سبحان,subhan
فروم,from
کے,k
سٹوڈنٹ,student
معروف,masroof
ٹارزن,tarzan
هوبی,hobby
اتاری,attari
لمحے,lamhe
کریٹ,create
کانا,kana
جوتیوں,jotioon
بابو,babu
بھیڑ,bheer
٥,5
بوي,boy
زوہیب,zuhaib
شان,shan
کمی,kami
سمایل,smile
آپکا,apka
واسی,wasi
سلیمان,sulaiman
خاک,khak
جیتے,jeete
لگان,lga
مناسب,munasib
سندھو,sindhu
ہتھیلی,hatheli
ڈالو,dalo
ہوگا,hoga
کتنی,kitni
داغ,dagh
انجوائے,enjoy
سیتا,seet
ڈیپارٹمنٹ,department
بتلا,batla
رواج,rawaj
پالتو,paltu
ثاقب,saqib
دلا,dila
رچ,rechilli
ڈوبی,dubi
کمل,kml3
روانی,rawani
اپنوں,apno
ہمارا,hamara
وابستگی,wabastgi
رکهتا,rakhta
کچہ,kuch
پاؤ,paaon
ڈیپ,deepfriends
ٹيپي,type
وک,ok
هون,hon
کھول,khol
لگتے,lagte
بناتا,banata
فیل,fail
پیٹ,pait
آمنہ,amna
جھانک,jhank
ریسٹ,rest
فاین,fine
میر,meri
اسی,usi
تاریکی,tareeki
تعلق,taluq
نفس,nafs
کہاں,kahan
امی,ami
کسنے,kisne
کرب,krb
تولل,toll
انفرادی,infaradi
روش,rosh
عقیل,aqeel
جھگڑا,jahgra
پيرپوسي,purpose
واک,awake
اتے,ate
چلتا,chulta
کشمش,kishmish
فدا,fida
چاہت,chahat
سوگوار,sogawar
دیکھیں,deikhen
انشاللہ,insha
امِ,um
لیں,len
بادشاہ,badshah
ناچ,naach
موسم,mosam
اے,e
مرحبا,marhaba
چلو,chalo
انوکھا,anokha
سکول,school
وحید,waheed
جان,jan
دوران,doraan
بی,b
برتھڈے,birthday
بدلی,badli
ہجر,hijr
سچے,suche
ڈیر,dear
ہرو,hru
کيوں,keyo
وارد,warid
وے,way
بولبو,bolo
بڑا,bara
سمس,sms
ماموں,mamu
ميمٹاذ,mumtaz
شرلی,shurli
لاسٹ,last
اشارے,isharay
بھیجوں,bhejoon
٣١,31
حيرو,hero
ورڈير,order
یخ,yakh
دنگ,dangr
سویاں,soyen
پہلا,pehla
سهارا,sahara
ڈاکو,daku
کرل,kral
گناہوں,gunahon
رقیسٹ,request
مسلمانوں,musalmano
کاج,kaj
تھک,thak
مما,mama
لفي,life
ھمیں,hamain
اسلامی,islami
دکھو,dekho
امین,ameendil007
ملاح,malahhhhhh
اند,and
جیا,jia
فير,fear
تمیز,tmez
بھن,behn
عرصہ,arsa
سیدھا,seeda
ہاتھی,hathi
کامیابی,kamyabi
شیدائی,shedai
کھلونوں,khilonon
جھگڑے,jhagre
گیا,gya
ا,a
فریاد,faryad
تا,ta
دست,dost
لکین,lekin
راہی,rahi
جہاد,jahad
مومن,momin
بنگلہ,bngla
مارکيٹ,market
ھوتی,hoti
خاص,khas
یت,it
ساگر,sagar
گلوم,gloom
عطا,atta
کرٹ,karta
مارنا,marna
تھو,tho
بلوم,bloom
جانا,jana
جلتے,jalte
چورا,chura
بگاڑا,bagara
کھاتا,khata
بم,bm
کھونا,khona
منصوبه,mansooba
لحاظ,lehaz
پليسير,pleasure
چوٹی,choti
رویا,roya
پلا,pila
تولیہ,tolia
عشاء,ishaa
ڈالے,dalay
انجونے,enjoy
ارگيمنٹ,argument
راہیں,rahen
سنو,suno
سردی,sardi
قرب,qurb
زمیں,zmen
بوڑھا,boorrha
انحابٹڈ,inhabited
وارک,warkatal
ملتی,milti
گناہگار,gunahgar
آرام,aram
گندی,gandi
گھڑی,ghari
بغداد,baghdad
سٹوني,stone
سکھانا,sikhana
نامعلوم,namalom
تپیش,tapish
کوکلي,quickly
الطاف,altaf
موڑ,morr
سورری,sorry
زلفوں,zulfon
همیں,hme
اٹھانے,uthane
گ,g
نکالو,nikalo
عدالت,adalat
موٹی,moti
آسک,ask
گردن,grdin
ڈمپ,dump
جسموں,jismoon
رونے,ronay
جاگتے,jagte
فاحم,fahim
خد,khud
شکایات,shikayat
آنسو,aansu
ہیلپ,help
تقدیریں,taqdeerain
فرحاں,farhan
تتلیاں,titliyan
بوريڈ,bored
سکنا,sakna
خدیجہ,khadija
حامد,hamid
ہونے,hone
کافروں,kafro
ميشارراف,musharraf
سکھ,sekh
دید,deed
ھوٹ,hot
زیب,zaib143
پیاروں,pyaron
مکھن,makhn
حنا,hina
ریلی,rely
نکلی,nikli
صورت,surat
پاکستان,pakistan
لیجا,leja
انقلاب,inqalaab
ينڈ,end
چور,choor
انمول,anmol
حضور,hazoor
ڈھال,dhal
بہترین,behtaren
بکھرنے,bikhrne
تنولی,tanoli
سمجھا,samjha
پانا,pana
بہو,baho
فوزیہ,fozia
غلطی,galti
جدوں,jadon
زیدی,zaidi
کتاب,kitab
سمیرا,sumaira
تعداد,tadad
پاسا,pasa
بلانک,blank
فاکي,fake
زندگی,zindagi
سينا,seena
انت,ent
روکے,roky
برا,bura
جاگے,jagaey
فتوحات,fatohat
رپلی,reply
کاری,karti
ہار,har
ها,ha
ہستی,hasti
فیصلے,fesle
شکایت,shikayat
باپ,baap
فرانک,frank
بدلا,badla
طوطی,toti
گنا,guna
جروا,jurwa
مانگتے,mangtay
بکی,bki
شعیب,shoaib
آوے,away
دھل,dhal
آگ,aag
خلق,khulq
رقیب,raqeeb
مونگ,mong
١٧٠٠,1700
لعنتی,lanti
کفر,kufr
فراز,faraz
ناخن,nakhun
پرندوں,parindon
تنو,teno
جنگل,jungle
پنو,pnuawan2310
چکر,chakr
مرغی,murghi
چیتا,cheeta
پیرو,piaro
اپریل,april
مجاہد,mujahid
دیجیئے,dijia
فيبرياري,february
ليس,less
چيز,chez
گولڈن,goldn
جیس,jese
ابرار,ibrar
نخرے,nakhre
مرے,mre
بھیجیں,bhaijan
دلال,dalal
وارث,waris
ملنے,milne
پیارے,pyare
بلوڈ,blood
بالڈ,bald
چورنگی,chorangi
ينيمي,enemy
باتیں,baten
جھیل,jheel
فوت,footpath
کوڑے,korray
ک,k
مسافت,musafat
پیچے,pechy
سلينس,silence
ثواب,swab
بھلایا,bhulaya
چیر,cheer
ڈریم,dream
ارٹ,art
مواقع,mawaqay
نمب,numb
حاررس,harris
احتجاج,ehtjaj
نہا,naha
لاش,lash
حوکيي,hockey
لابی,labi
فرما,farma
فری,free
گدھا,gadha
اک,ik
بيٹھ,baith
آتی,ati
پڑھتی,parhti
ساتھی,sathi
سلگتے,sulagte
جنہوں,jinho
بھیجتی,bheje
کیسے,kese
سونی,soni
ظرور,zaror
تربیت,trbiat
فوٹ,foot
فنک,funkar
کرتے,karte
سجدوں,sajdon
لگا,laga
کوا,kawa
آزمانے,aazmane
ہوٹل,hotel
ہیرے,heere
مایا,maya
بیوی,biwi
سوک,sok
قاسی,qasi
خیریت,kheriyat
بڑوں,baron
پاکی,paki
انکی,unki
گپتا,gupta
ہوگیا,hogya
وام,wam
پیروں,pairon
والی,wali
ساقی,saqi
مرتا,marte
فانی,fani
کرک,circket
زمانے,zamane
پھرتے,phirtay
آباؤ,abao
پینے,peeney
ثابت,sabit
سعودی,saudi
اسکی,uski
تاکے,take
زما,zama
پتا,pata
لات,lath
درس,darse
دیوار,diwar
مسکین,maskean
رہتی,rehti
طریقوں,tariko
حوصلوں,hosloon
بھا,bha
زبیدہ,zubaida
شرت,shart
سفیان,sufyan
نور,noor
اپیل,appiel
سٹی,city
بجھی,bujhi
یادِ,yaad
بیل,bell
حبس,habs
لامب,lamb
کونسا,konsa
گیسٹ,guest
موبایل,mobile
آن,on
ففٹي,fifty
سيپٹيمبير,september
شیا,shea
علینہ,alina
ڈیڈی,dydy
کوفی,cofi
پھر,phir
پرانی,purani
منڈا,mundaø
ڈنگر,dngr
ٹھکانہ,thikana
احتساب,ahtisab
لڑے,laray
بہ,b
پیچھا,peecha
خالد,khalid
ليرن,learn
ڈوڈ,dod
رکھتے,rakhtay
جاگو,jagoo
مصروفیت,masroofiyat
صبا,saba
لگایا,lagaya
لفٹ,lift
بچ,bach
بييٹفيل,beautiful
پکڑو,pakro
ديتا,deta
کرنير,corner
پاکستانیوں,pakistanio
منا,mana
پلاسٹک,plastic
پروں,paron
خود,khud
پوچھو,pocho
لوٹا,lauta
ٹوٹکا,totka
سنده,sindh
زیادہ,ziada
امامت,imamat
صدا,sada
کیوں,q
مین,main
کونٹینو,continue
پتھروں,pathron
کرونگا,karo
ہول,whole
سمجھے,smjhe
پرنسس,princes
لڑنا,lrna
زونگ,zong
عین,ain
رہوگے,rhoge
بھلا,bhula
ملاتا,milata
توڑ,tor
چوم,choom
آزماتے,aazmaty
وربٹ,orbit
چابی,chbi
بابي,baby
گی,gi
الون,alone
جانو,jano
اڈمرل,admiral
بارشوں,barishon
آءے,aye
آغوش,aghosh
گزارا,guzara
لفی,life
لگتا,lagta
ریپلائ,reply
جواب,jawab
مہنگا,mehnga
ھوتے,hote
بھیج,bhej
گزارنا,guzaarna
جگانے,jaganay
دراصل,darasal
تها,tha
لوٹس,lots
ماسی,masi
ملتا,milta
احميڈ,ahmed
گلے,galay
دونے,donay
معذرت,mazrat
بہروں,behron
بیٹھا,betha
سمجھی,smjhi
ہٹنے,hatne
بالٹی,balti
مسکرانے,muskrany
ہ,ha
بغیر,bagair
مارٹ,smartpoetry
پیدا,peda
هوٹ,hot
روک,rok
شرکت,sharkit
کھینچی,khainchta
مقصود,maqsood
ناسمجھ,na
رخ,rukh
تاج,taaj
خیرات,khaerat
ما,ma
ينٹر,enter
خوش,khush
مجھے,mujhe
نبھانے,nibhane
گزری,guzrifaraz
امیدیں,umeedein
یادوں,yadon
کرنے,krne
رکے,rukay
بچنا,bachna
بھیگی,bheegi
سرے,sare
بچیاں,bachiyan
ارٹفکال,artificial
کھانے,khane
کھلونے,khilonay
افسردہ,afsorda
مار,mar
باتوں,baton
انگریز,engrz
پڑھا,parha
آلو,aaloo
ببلو,babloo
نہایت,nehayet
فاحاڈ,fahad
خر,khr
کافی,kafi
گرا,gira
ہاللو,hello
درود,darood
ناسور,nasoorjazb
افسوس,afsos
ور,or
کھيل,khel
دی,di
رور,ror
کامران,kamran
ہیر,here
جسے,jisay
آغا,agha
لاج,laj
سوری,sory
گرنے,girne
شہزادہ,shahzada
جھوم,jhom
ذونگ,zong
جذباتی,jazbati
لکھ,likh
حے,hai
پويم,poem
اونی,aouni
دھیرے,dheere
غریبوں,gharibon
قیام,kiam
آریان,areyan
جاے,jaye
تھی,thi
گهڑ,ghar
بريڈ,bread
شٹ,shut
عرض,arz
اندھر,andr
کشتی,kashti
زہرا,zahra
تمہیں,tumhe
ایسے,aisay
جوک,joke
تھوڑ,thori
سٹرونگ,strong
شاہی,shahi
ویلکیم,welcome
حالت,halat
سوچنے,sochne
اسسينسون,ascension
آزما,aazma
حکومت,hkomt
سوچتی,sochti
ویٹ,wait
تھنکس,thanks
شرک,shrk
وں,un
شک,shak
سٹي,city
ٹو,to
ہونٹ,hont
گرد,grd
ٹپس,tips
کلمات,kalmat
کیں,q
رونا,rona
فلمیں,flmn
جوس,juice
تکلیف,takleef
ليں,lain
بولنا,bolna
بکنے,biknay
نکوٹین,nicotinesms
پہلی,pehli
والد,walid
خبروں,khabron
رنگ,rang
ومار,omar
فريڈوم,freedom
اجنبی,ajnabi
کرواتا,karwata
سیریس,seri0us
تبدیلیاں,tabdeeliyan
عزت,izat
حوا,hawa
رکھا,rakha
مستونگ,mastung
گنورانٹ,ignorant
کلاس,clas
پروپيرٹي,property
دبی,dubai
آنٹ,aunt
باسي,base
هی,hi
سیرت,seerat
ادو,idot
ہوتے,hote
کباب,kabab's
گرفتار,griftar
دانس,dance
چلاؤں,chlaon
دستور,dstoor
مینا,mena£=siom£
دیش,desh
فورڈ,frwrd
راچ,rich
بٹھاو,bithao
یومی,yummi
بریکر,breaker
شوي,shoe
پھٹ,phat
قاد,qadir
افتخار,iftakhar
جنناح,jinnah
جما,jama
محال,mohal
سليپ,sleep
بنگو,bingoo
ٹورنامنٹ,tournament
مانو,mano
رنگین,rngin
بنگالی,bangali
روپے,rupy
راستہ,rasta
هوں,hun
دوستی,dosti
ہیلو,hello
مہا,maha
مجبورا,majburam
انڈير,under
ساته,sath
ریپلائی,reply
کہنا,kehna
آسمانی,aasmani
پناہ,panah
ہنسنا,hansna
خط,khat
تيز,tez
فات,fat
روہی,rohi
بوریت,boryat
ندا,nida
سوچنا,sochna
مکھی,makhi
کاظمی,kazmi
مزا,maza
احساسات,ihsasat
وٹس,wts
بڑھ,barh
حاجی,haji
موٹو,motu
اککور,acquire
حيڈ,head
پيريلي,purely
ریڈ,reed
جانور,janwar
وارسا,warsa
تھے,thay
ہیڈ,head
ہونٹوں,honton
چکے,chuke
سگے,sege
اسدولاه,asadullah
کربلا,karbala
شفقت,shafqat
آل,all
ہوجاتا,hojata
اداسی,udasi
جام,jaam
فیضان,faizan
11,11
انصاری,ansariboys
انجو,anjo
لونگا,lungagirl
دربان,darbanaisey
بانو,baano
واہ,wah
مغفرت,maghfrat
اپنانے,apnanay
چرچا,charcha
احساس,ehsas
افغان,afghan
ناپ,nap
بھأي,bhai
انک,ink
محرومی,mehroomi
تھوڑے,thore
وسیم,wasim
لفظ,lafz
جلانے,jalanay
عراقی,iraaqi
مشکل,mushkil
سام,sam
دیکها,deka
کاشان,okkashan
صارف,user
بلکه,blky
ترازو,tarazo
بکھرے,bikhre
کسا,coca
کاہے,kahey
وچ,kuch
ہاۓ,hi
سجا,saja
افضل,afzal
انڈيرنيتھ,underneath
رابطہ,rabta
دکھ,dukh
موحامماڈ,mohammad
قریشی,qureshi
اسکول,iskool
موڈ,mood
ميری,meri
زبان,zuban
ذلیل,zaleel
ھنی,honey
بند,band
رازی,razi4u
نایس,nice
فلم,film
ماری,marikese
کوڈ,code
سختی,sakhti
نال,nal
بھائی,bhai
تکتے,tktey
ریپلاۓ,reply
جیسے,jese
بای,bi
سچا,sacha
کانچ,kaanch
۵,5
قاتل,qatil
زوق,zowq
سنگا,snga
اسلام,assalam
سما,samaa
آنگن,angan
فضیل,fuzail
آمر,aamir
ریل,real
کول,cool
سٹوري,story
روٹی,roti
ليتے,laitay
گفٹ,gift
کی,ki
روز,roz
تؤ,to
چاہا,chaha
دوسری,dosri
رہا,raha
ذرا,zra
لانا,lana
کیتا,keeta
راستے,rastay
گجرانوالہ,gujranwala
2,2
فريش,fresh
گھنٹے,ghante
جانتی,janti
رومان,romaan
ستارے,sitare
شہزاد,shahzad
بنای,bnai
پیروی,pairwi
سجایا,sajaya
پروگرامر,programmer
چیزیں,cheezen
موحامميڈ,mohammed
ٹاگ,tag
پیسے,paise
آوازیں,awazen
پاک,pak
آفر,ofer
چڑھاؤ,charhao
آرمی,army
اپپيل,appeal
کرواؤں,krwao
چاۓ,chay
معصومیت,masoomiyat
بڑھا,barha
لے,le
ہمیش,hamesha
دوری,doori
دشمن,dushman
چین,chain
ابتو,ab
ھو,ho
تعرف,taraf
ای,i
چاہی,chahye
سمجھدار,smjhdar
پيرسون,person
عقل,aqal
بتاؤ,btao
ہوجا,hoja
اسس,is
مغرب,mghrb
٢٠٠,200
زیر,zer
خوب,khoob
ہمارے,hamare
واٹس,whats
ہوشی,khoshi
سرمایا,sarmaya'e
اچھی,achi
شيٹ,shet
چاٹ,chat
امید,umeed
لوند,londy
جنوں,junoon
برستی,barasti
افراد,afrad
رخی,rukhi
منی,mani
الگ,alag
فضیلت,fazeelat
اکڑ,iccr
پلانيٹ,planet
تھا,tha
روکیں,rokyn
خودکشی,khudkushi
پلايير,player
فش,fish
بستا,basta
یعنی,yani
بھوک,bhok
عراق,iraq
رفتار,raftaar
اندھیروں,andheron
پڑو,prho
پورے,pore
ٹرسٹ,trust
حقیر,haqeer
تارا,taraadub
ہمیں,humain
سراج,siraj
شیرو,sherwani
آرہا,araha
چکی,chuki
سینٹینس,sentence
سنگھ,singh
دہاڑے,dihaaray
جرا,jera
لٹا,lutai
اداکار,adakaar
پینٹ,paint
طبیعت,tabiyat
تیری,teri
سجدے,sajday
سیٹ,set
اپس,apas
اشاره,ishaara
مری,meri
نیے,naye
باس,bas
آنسر,ans
ارسلان,arsalan
شرافت,shrafat
بنتی,banti
بھرتا,bharta
الکوحلٹارزن,alcohol
ميں,main
لینے,lene
ماڈ,mad
جمعہ,juma
آداب,aadaab
افٹر,after
کویل,koyal
خاندان,khandan
جوڑ,jork
پنجرے,pinjray
بٹھانا,bithana3
شہادت,shahadat
شکور,shakoor
رسمی,rasmi
کين,keen
تیرے,tere
رحمان,rehman
ہوتا,hota
زینب,zainab
ارباز,arbaz20
پیتا,kpeeta
تجھے,tujhe
حاضر,hazir
حیدر,hydrabad
قندیل,qandeel
الحمد,alhamdolillah
منانے,manane
انگلیوں,ungliyon
اکر,iccr
٢٠,20
رہنا,rehna
بادام,badaam
گلیاں,galia
پروگراممير,programmer
وانٹ,want
هاف,half
تھیں,thin
بيرن,burn
اقبال,iqbal
ڈور,door
باته,bathroom
بروڈر,bro
لڑکیوں,lrkion
بخیر,bakhair
سرداروں,sardaron
گيل,gul
لوگوں,logon
لکي,like
بناؤ,bnao
گوٹ,got
سوں,sona
عذاب,azab
ارشد,arshad
مي,my
دین,deen
مزار,mazar
پھاڑ,phar
چاہنے,chahne
ٹوو,two
٢,2
حور,hoor
غریب,ghareeb
بدلے,badlay
عوام,awam
رحمانہ,rehmana
ابو,abu
تنوع,tenu
آسی,aasi
قبریں,qbren
سمت,simt
بولو,bolo
سٹڈی,stdy
لکھنا,likhna
بدلتی,badalti
پڑھنا,parhna
ڈوب,doob
خطرناک,khatarnak
گريٹ,great
سمجھ,smj
توہین,toheen
٣,3
طالبعلم,talabilm
شق,shuk
۱۱,11pmparya
دبا,dba
ہوں,hun
آفریدی,afridi
بسیں,basen
کارڈ,card
علینا,alina
سچی,sachi
جیسی,jesi
امریکہ,america
نیلی,neeli302
نواب,nawab
چپ,chup
هیلپ,help
دشت,dasht
کیونکہ,q
گردی,gardi
سدا,sada
دفا,dafa
گلو,glow
آؤں,aao
کردی,krdi
لڑکیاں,larkian
دشمنی,dushmane
ولڈ,old
جوب,job
سینڈ,send
فلاگ,flag
٢٥٠,250
چوٹ,chot
ناصر,nasir
پریت,preet
دھوکا,dhoka
