Urdu,Roman
تول,tol
ميز,maiz
ھوتا,hota
پحلوسوپحير,philosopher
شیاء,shia
نڈھال,nidhal
ييي,eye
گووڈ,good
جونی,jouni
زرداری,zardari
کشمکش,kashmakash
الکوہو,alcohol
ہیں,hain
جسٹ,just
لادن,laden
مخاطب,mukhatib
کرکے,karke
روڈ,road
خلا,khula
علاوہ,ilawa
لوگ,log
خوف,khof
جگایا,jagaya
بار,bar
مانی,mani
درجے,darje
کامياب,kamyaab
جلیل,jalil10
اجالے,ujaly
کھانسی,khaansi
گھر,ghar
لڑی,lari
میمبر,membr
کہتے,kehte
مٹتے,mittay
پڑتا,parta
سنان,sunan
امیدوں,umeedon
سوا,siwa
چیتے,cheetiye
سپرد,spurd
دوست,dost
ہاہاہا,hahaha
کیسی,kesi
مہاجر,mahajir
قیمت,kimat
تیسری,kotesri
ماجد,majid
فوللو,follow
کمان,kaman
منسوب,mansoobtum
جانِ,jan
حسیب,haseeb
مٹھاس,mithasjab
سیلاب,selab
کھیلتا,kheilta
واسطہ,wasta
بلوچی,balochi
عجب,ajab
چلی,chali
ہلچل,halchal
١٥,15
جیتا,jeeta
پختو,pukhto
ادھورا,adhoraø¤!œ£ent
ڈیلی,daily
خواہش,khwahish
دادا,dada
کون,kon
نمی,nami
ڈوینگ,doing
ماہیا,mahiyarab
ثنا,sana
موج,moj
بنایا,bnaya
حیات,hyat
تجھ,tujh
لیموں,limu
اسلامیک,islamic
ٹرپ,trip
خاموشی,khamoshi
دہی,dehe
موبلے,mobile
تروته,truth
ملاقات,mulaqat
وفات,wafat
پھیلاتا,phelata
تہ,tha
اجمل,ajmalmmdaslam
بھائ,bhai
سویرا,sawera
سلاپ,slap
8,8
کٹوبير,october
مٹانا,mitana
گوڈ,god
ابھرنے,ubharnay
یوٹ,your
پرنس,prince
رے,re
ملٹی,multitecsawariya
سونو,sonu
جاز,jazzy
بها,baha
ملاوٹ,milawt
تنگ,tang
خوشیوں,khushiyon
ڈے,de
خطرے,khatre
جلنے,jlne
بٹے,btain
لو,lo
گیں,gain
کال,kal
ملی,mili
زنا,zana
ٹالک,talkshalk
آپکو,apko
جوکس,jokes
تخت,takht
سکرین,scren
٥٠٠,500
نيٹ,net
نیازی,niazi011
جانی,jani
اسيمبلي,assembly
بیٹھی,bethy
چی,che
پوچھا,pocha
اپ,ap
روشن,roshan
برين,brain
سکپ,skip
جینا,jeena
جلدی,jaldi
کھیل,khel
آلسو,also
حونور,honor
وحشت,wehshat
دوسروں,dosaro
راو,raw
ظالم,zalim
جيني,june
صابر,sabr
اقرا,iqra
سٹرنگز,stringzoye
صدقے,sadqay
رسیلی,raseli
مانا,mana
پرانے,puranay
کیمسٹری,chemistryblogsadaf
پیش,paish
بلڈنگ,bulding
پﻻسٹک,plastic
مومنین,momineen
رينٹ,rent
دوستوں,dosto
پڑھتا,parhta
سامی,sami
فیصلہ,faisla
مانتے,mante
کردگی,krdgi
ہونگے,honge
بہتا,behta
طوطا,tota
بھیا,bhayia
ادھوری,adhoori
لرزتے,larazte
بادل,badal
خراب,kharab
یونس,younis
بهائی,bhai
گو,go
راہ,raah
میشا,mishaaao
بہانے,bahane
اگنی,agni
رهے,rahe
شرمایا,sharmaya
ذہین,zahen
ييس,yes
اجیرن,ajheeran
کالو,kalo
پیٹی,piti
کیوںکہ,kiun
لگاتار,lagatar
نون,non
سوم,swim
مناہل,mnahil
جوگی,jaogi
حلیم,haleem
مضبوط,mazboot
بندا,banda
فاسٹ,fast
سلک,silk
سامنے,samne
سرور,suroor
ريببش,rubbish
الله,allah
تالو,taulo
مثلا,masla
پریتی,prety
پانڈا,panda
پتلون,patloon
فصل,faslegul
ڈوبنے,doobnay
سٹال,stall
کپي,copy
بہاو,bahao
تھامے,thamay
پٹي,pity
کونسے,konse
لکھنے,likhne
ورق,warq
جین,jain
چارسو,charsiokoi
راشد,rashiid
ریپ,rep
سٹوپ,stop
لکھتی,likhti
رابعہ,rabia
دریاؤں,daryauon
سزا,saza
عزیز,aziz
جاسم,jasmin
هاں,han
کرنی,krni
١٧,17
سٹارٹ,start
سٹوپڈ,stupid
لنچ,lunch
وہاب,wahab
حفیظ,hafeez
اسا,isa
بھوکا,kabhokatha
ٹير,tyre
چکنی,chiknikuriraja
زندگانی,zindagane
پورا,pora
ٹرينک,trunk
سنک,snkk
ادیا,idea
نازش,nazish
راجپوت,rajput
ھا,hahaha
ي,ye
منہاس,minhas
پریس,prince
مپرسونمنٹ,imprisonment
انٹروڈکشن,intro
کاٹ,kaat
مسیحا,maseeha
جاپان,japan
مرد,mard
سبا,saba
انشا,insha
وارن,warn
رہتے,rehte
نبھایا,nibhaya
گرل,girl
بروے,brwe
غلطیوں,galtiob
الکوحل,alcoholnahi
دير,dair
شریعت,shariyat
اخوند,akhund
بیماری,bimaari
آنکھوں,ankhon
محشر,mehshar
پرواہ,parwah
اتوار,itwaar
چاہوں,chahon
اسرار,israr
پیڈ,pidda
منميم,minimum
پوچھ,poch
اڑا,ura
کود,code
کروا,krwa
آجا,aja
اپنے,apne
ڈوبا,dooba
لگانا,lagana
ماند,maand
سینڈنگ,sending
ماہ,mah
کریگا,karega
پاتے,paate
چالاک,chalak
ملال,malal
دیر,dear
دیواروں,deewaaron
مسلمانو,muslmanu
انا,anaa
فيٹير,future
سیکھا,seekha
لوگو,logo
اای,i
رام,ramgar
تڑپتا,tarapta
آجکل,ajkal
کرانا,krana
انوشے,anoushey
سندر,sundr
نازک,nazuk
آنٹی,aunti
کرتا,karta
کیچڑ,keechar
کچرا,kachra
خدایا,khudaya
اجداد,ajdaad
ب,b
شامی,shami
بیہوش,behosh
سادہ,sada
بولی,boli
چڑھا,charha
چاہیں,chachey
سکیں,sken
گا,ga
فرش,farsh
د,da
کنوٹ,knot
ایسا,aisa
ناین,nine
نکلا,nikla
انٹرنیٹ,internet
لوںگا,lo
پللو,pillow
ظہیر,zaheer
طوطوں,toton
یادیں,yaaden
هنس,hans
سٹيپ,step
والوں,walon
لاشیں,lashen
اپنی,apni
والے,wale
سچ,sach
ترین,tareen
بچی,bachi
اوس,aus
مشہور,mushhoor
اننکينٹ,innocent
ٹکرا,tukra
تہس,this
حارش,harsh
مرزا,mirza
رخسانہ,rukhsana
ہام,sham
ہوت,hoti
امےر,ameer
لؤ,lo
نام,nam
انعام,inaam
سنگاکارا,sangakara
لڑائی,lrai
بھیگ,bheeg
لکھتے,likhte
ہاتوں,hatthon
پونڈ,poni
گزرے,gzrega
تاو,tao
کسک,kscnumaz
پرواز,perwaaz
ٹپکتا,tpkta
آپی,api
ھیں,hain
رہی,rahi
پھونک,phook
انہی,inhi
بٹس,batsman
چکا,chuka
رقص,raqs
طور,tor
وضاحت,wazaht
کتنا,kitna
ھیلڈ,held
دہکتے,dehekte
تنا,itna
فرمایا,farmaya
پؤيٹری,poetry
بھروسے,bharosay
رسول,rasool
مسلمان,musalman
سنڈ,send
ذمانا,zama
غمی,ghami
مستانہ,mastana
اندر,andar
ملول,malool
زبر,zabr
کور,kor
شا,sha
سنسان,sunsan
دیکھا,dekha
کہے,kahe
باد,baad
روسے,rose
ہارو,haaro
فيصل,faisal
پری,pari
رانا,rana
قریب,qareeb
چول,chwal
نمازی,namazi
بهی,b
پاس,pas
کھلتی,khilti
وکا,oka
پوچھی,pochi
بھولنا,bhulana
ڈولی,dolly
بیسٹ,best
شیری,sheri55
گوگل,google
اطراف,atraaf
کونے,koney
سوفٹ,softchat
تالیاں,talian
منافقت,munafqat
بهادر,bahadur
مست,mast
طبیب,tabeeb
اس,is
عجیب,ajeeb
نيوز,news
لاکي,lake
سومورو,soomro
سعد,saad
کارو,karo
بزدار,buzdar£(taunsa£
ساز,saaz
آکر,aakar
فریدی,fareedi
حےلو,hello
قصی,qasi
عورتوں,aurton
ليٹٹر,letter
آج,aj
آخری,aakhri
انکو,unko
کوشش,koshish
راجا,raja
ہاتھ,hath
وصی,wasi
چیز,cheez
سمایا,sumaya
ورقہ,warq
گيسٹ,guest
اختیارات,ikhtiyarat
شوخ,shokh
لعل,lal
متھ,muth
نبھاتے,nibhatay
١٠٠,100
لوها,loha
وجود,wajood
پونچھ,ponch
٤,4
ڈارک,darkeyes
آفتاب,aftab
ییس,yes
ذوق,zoq
بالوں,balon
حاجت,hajat
پرستی,parasti
ریپلے,reply
بھاگنا,bhagna
سیرو,seeru
زبیر,zubair
تھس,this
قربان,qurban
جلا,jala
قیامت,qyamat
ڈریمز,dreamzz
تتلی,titli
مسکراہٹ,muskarahat
رکھنی,rakhni
بھروسہ,bharosa
ڈوبتی,doobti
رہیں,rahin
نبی,nabi
رفاقت,rafaqat
ریکو,request
رفتگاں,raftagan
دھڑکا,dharka
جاناں,jana
بوم,bombom
شوپ,shop
حقدار,hakdar
دیوانہ,diwana
علی,ali
نشانی,nishani
کوالفيڈ,qualified
بیچ,bech
رہو,raho
فواد,fawad
آدھا,adha
خام,khaam
رضی,razi
ٹوٹنے,tootne
تقدیر,taqdeer
مزاج,mizaj
کورے,korey
مہر,mehr
عبادت,ibadat
کشم,kashmiri
ويلکم,welcome
انگلی,ungli
جنید,junaid12
تاروں,taron
ترک,tark
آرٹی,arty
تمھیں,tumhen
آتے,ate
جگا,jaga
باربار,bar
خودی,bekhudi
اچھے,ache
امين,ameen
ہون,hon
مرضی,marzi
زپر,z
پایا,paya
گهر,ghr
کلیوں,kaliyoo
پارٹ,part
یير,year
انفڈيلٹي,infidelity
خرمی,khurmi
مون,moon
ہوٹ,hotgirl302
مصروف,masrof
الحمدلللہ,al
آدمی,admi
تھ,thi
کونکريٹي,concrete
دامن,daman
تراش,taraash
بعد,bad
ٹیسٹ,test
نسوار,niswar
آ,aa
چہرے,chehre
برباد,barbad
جاننے,janane
ڈوگ,dog
چراغ,chirag
يحيا,yahya
خرچ,kharch
پہاڑ,pahar
سادی,sadi
اتفاق,itafaq
ناموس,namos
دنیا,dunya
کوھول,alcohol
اٹھنا,uthna
ابیع,rabi
دا,da
پرہو,perho
اگگريگيٹ,aggregate
چکروں,chkron
کاسٹ,cast
معذور,mazor
منایا,manaya
ہمم,hmmmmm
ناگوار,nagwar
چاہیئے,chahiye
پين,pain
اللي,ally
مناتا,manata
ھوںج,hun
اکٹر,actor
اندھیرے,andheray
مجے,mujay
خفا,khafa
تینوں,tenu
تلخ,talkh
دیپ,deep
ابل,able
بکتا,bikta
عادتیں,aadatein
رومز,rooms
لاکھ,lakh
فٹبال,football
جوہر,juharabad
پینا,pina
ٹکڑوں,tukron
سارک,sarika
لمیٹڈ,unlmitd
جار,j
میٹر,metr
ٹیل,tell
دھماکے,dhamakay
کلپنا,kalpana
قابو,qaboo
عظیم,azeem
حسسیں,hussain
آنا,aana
خوبصورت,khubsurat
داری,dari
دیکھ,dekh
خوں,khon
ٹرکک,truck
رهنے,rehne
گھسے,ghussay
ہنستے,hanste
سمجھتا,samajhta
بريکفاسٹ,breakfast
شمع,shama
ایشا,ayesha
ٹینا,tina
سنگ,sang
کریں,kren
کونی,koni
شیخ,sheikh
مزے,mazay
لگانی,lgani
نتاشا,ntasha
باہوں,baanhon
وکے,okay
لیکن,lekin
سلا,silamat
فرينڈ,friend
باری,buri
ٹی,t
معیار,mayaar
رافضی,rafzi
گہرے,gehray
ناکامی,nakami
ننيٹي,ninety
بیٹھ,beth
کیجیئے,kijye
ڈون,do
لایا,laya
یاپ,yap
انفليينس,influence
امنہ,amna
وہیں,wahin
زیدہ,zaida
سوتا,sota
ہاسا,haasa
اتنی,itni
سٹيل,steel
مبتلا,mubtala
گزرتا,guzrta
لکیروں,lakiron
ناشتا,nashta
گدو,gado
جرم,jurm
سخت,sakht
آگیا,agaya
فرم,frm
منگ,mung
سیالکوٹ,sialkot
دیے,diye
کسوں,kason
نید,need
کتنے,kitne
سکا,saka
پکی,paki
منظور,manzor
زا,za
دوؤ,do
دیوبند,deobandi
بولتے,bolty
دھوکہ,dhoka
بوتا,bolta
فورٹي,forty
جھکنا,jhukna
معصومہ,masoma
ڈھلا,dhala
لان,landa
دورنگ,during
انور,anwar
تحریریں,tahreeren
جونٹ,joint
باقي,baaqee
ٹھنڈک,thandak
مسکراتے,muskratay
ٹیچر,teacher
لينڈ,lend
گروپ,group
پانیر,pioneer
یہی,yahi
کروانی,krwani
چاندنی,chandni
ستو,ston
کھڑی,khari
شوٹ,sho
انجان,anjan
اٹس,its
۱۵,15
لمبے,lambay
سکور,score
جواد,jawad
حوصلہ,hosla
اسما,asma
اٹھو,utho
چائے,chay
گیلا,geela
تمہاری,tumhari
عادی,aadi
3,3
گھٹا,ghata
نومبر,numbr
حيل,hell
ستون,gstones
شیشہ,shesha
اج,aj
ٹوٹے,tootay
کسی,kisi
آکاش,akash
مجھ,mujh
سرا,sara
بنگلادیش,bangladesh
الٹنے,ulatne
سانس,sans
دلوں,dilon
کللنگ,killing
حارڈ,hard
بری,buri
رونی,roni
ریحان,rehan
چلنے,chalnay
ٹوپک,topic
تھنک,think
پٹری,patri
ہوجاؤ,hojao
جسم,jism
تونے,tu
انگوٹھا,angotha
حونيي,honey
لاو,law
زاہد,zahid
سنتا,sunta
ہپ,h
بھٹکے,bhatkay
گار,gaar
سکم,skm
صحرا,sehra
شورٹ,shortcut3
لاین,line
جهان,jahan
گھوم,ghum
امڈ,umad
بلا,bula
ماہی,mahi
مہربان,mehrban
بھول,bhool
دینا,dena
برعکس,baraakss
پلکوں,palkon
یے,ye
دانش,danish
لبوں,labon
واقعے,waqiye
صاحب,sahb
عدد,adad
تمیں,tumen
جاوں,jaon
قوم,qom
اسکے,uske
آمین,ameen
سنوارتی,sanwarti
جلتی,jalti
غیرت,gherat
مہروز,maheroozwaalaikum
نماز,namaz
نازی,nazi
پووڑ,power
ابلیس,ablees
بوتھ,both
سال,saal
ماننا,mana
پھل,phal
انتظار,intzar
حصار,hisar
خرید,khareed
بنے,bne
بندہ,bnda
پچاس,pachaas
صابن,sabun
بلاکر,blacker
ثانی,saani
نوم,nom
ابراہیم,ibraheem
جذبے,jazbe
خریدا,kharida
پیارا,pyara
نيو,new
انگلیاں,ungliyan
مریضوں,marizo
بهائ,bhai
احماڈ,ahmad
١١,11
ٹرین,train
مستی,masti
ساجد,sajid
حالی,chali
داخل,dakhil
حیران,heran
وداع,wada
نکال,nikal
موت,mout
گولٹ,guilt
سوتی,soti
خواجہ,khawaja
بيت,beet
برانچ,branch
امبر,u
کا,ka
الوداع,alweda
آفاق,afaq
ينگلش,english
چ,cherry
مڈل,mdl
ناشتہ,nashta
ساری,sari
کرے,kare
دیکھنی,dekhni
زبردست,zbrdast
یا,ya
لڑکا,larka
پاپير,paper
فاروک,farooq
لکیر,lakeer
حجاب,hijab
جا,ja
نوں,nu
ماریا,maria
١٦٠,160
شہید,shaheed
سمجھنے,smjhne
کڑوا,karwa
چوہا,choha
پولیس,police
دوش,dosh
کمرا,kamra
نفیس,nafees
لاهور,lahore
نینا,naina
زرقا,zarqaw1y
کنجوسی,kanjosi
افرا,ifrah
پوروں,pooron
انکل,uncle
يگگ,egg
معصومین,masomen14labikyahussainkisi
حیرانی,haerani
روپ,rop
یاسر,yasir
ماشاء,masha
لگتی,lagti
تسکین,taskeen
موبی,mobirock
چلایا,chilaya
چاہو,chaho
لاتی,latikehti
راگ,rag
آغاز,agaz
برسوں,barson
پارو,paroo1me
انجانے,anjane
اتینڈ,attend
پہونچا,phoncha
بيس,bees
ناراض,naraz
ادھر,idhr
نیا,naya
قبول,qabool
زیا,zya
رکن,rukn
سٹيڈينٹ,student
بتا,bta
خاطر,khatir
غالب,ghalib
چوکیدار,chwkidar
بھولتا,bhoolta
سلام,salam
کچھ,kuch
ٹري,try
پکڑوں,pakron
کیاکیا,kya
ہوا,hua
جہاں,jahan
سوچا,socha
ہوے,hue
ناز,naaz
کونٹربيٹي,contribute
ڈالتا,dalta
آیندہ,ainda
حويوز,house
ڈرتی,darti
مناتے,manate
جنگ,jung
تحقیق,tehqeeq
بلاسٹ,blasts!m
دیوانگی,deewangi
سپورٹس,sportsman
اوقات,auqaat
یهی,yhi
اعتراض,aitraaz
بیولوجی,bio
هاتھ,hath
تقسیم,taqseem
ذ,zr
تے,te
کھل,khul
دو,do
کوکہا,koocha
جننے,jinne
حسدا,hasda
صحت,sehtmand
اب,ab
تھوڑی,thori
آپکے,apke
قیمتی,qeemty
بھیجے,bheje
کری,krti
سوچو,socho
نادیہ,nadia
لنک,link
زخموں,zakhamon
نادر,nadir
فرايڈ,fraud
پرنسپال,principal
ہرگز,hrgiz
پوچھیں,poche
کہ,k
ماروی,marwa
اسد,asad
چاہتا,chahta
دلو,dilo
میٹ,maiti
غذا,ghaza
برسات,barsaat
اجالا,ujaalah
پیر,peer
بکری,bakri
ہسپتال,haspatal
حکمرانوں,hukmranoon
ٹوتھ,tooth
نیلا,niala
سین,seeen
رهنا,rehna
سکتا,sakta
انکار,inkar
بکرا,bakra
پا,pa
شوق,shoq
چوتھی,chuti
چاہے,chahe
لین,line;mera
ند,nd
ہنس,hans
رو,ro
غريب,ghareeb
لیے,lye
حاکم,hakim
شمار,shumar
فرانکلی,frankly
آنے,ane
فیاض,fiaz
عندلیب,andleeb143
پاپے,papy
پکے,pake
رالف,ralf
زباں,zuban
سیدھی,sedhi
اٹھی,uthi
می,me
انٹر,interinfo
گلاں,galan
م,ma
ردر,ridr
کر,kr
آنکھ,ankh
ہٹا,hata
ابنِ,ibn
غازی,ghazee
حسینی,hussaini
مرنے,marne
جاگتی,jagti
موتی,moti
دکھے,dukhe
خمار,khumar
شاکی,shaki
موحاميڈ,mohamed
غم,gham
کان,kan
جونہی,junhi
کاشی,kashi
ربی,rabipagl
نظریں,nazren
اتنے,itne
آدھے,aadhe
وفا,wafa
تعریف,tareef
خواب,khwab
ال,ul
بکواس,bkwas
هوتے,hotay
دھرتی,dharti
خاندا,khanda
ہوسٹل,hostel
عرصے,arsay
لکھا,likha
ناسر,nasir
ہلاکو,halako
لاڈلی,ladli
الين,alien
ام,am
بارگاہ,bargah
سنوار,sanwar
جدا,juda
یار,yar
رہے,rahe
دیتی,deti
سبزی,sabzi
روکنگ,rocking
اکا,aaka
کافر,kafir
لون,lion
١,1
اتی,ate
چمکتا,chamakta
پاگل,pagal
لمبا,lamba
کھونے,khonay
قاصد,qasid
سمجهے,smjhy
بیمار,bemar
جیت,jeet
حال,hal
بهت,bht
نیوز,news
ویلکوم,welcome
پرس,price
گزرنے,guzarne
خون,khoon
ااس,aas
ویسی,wesy
ہمار,hmara
روے,roay
شر,share
ویب,web
رواں,rawan
تی,ti
فہمی,fehmi
آرم,arm
نکالے,nikalay
بسے,bs
ريڈ,read
خوشی,khushi
انٹينٹ,intent
شازی,shazi
غلاب,gulab
مانگنا,mangna
دھویا,dhoya
سجنا,sajna
کسٹ,cost
ہور,1hour
آگے,aage
الحال,filhal
علی(علیہ,ali
٧٠,70
قران,quran
گریٹ,great
الجهاد,al
بناوں,banao
الی,ali
جاتے,jate
سمارٹ,smart
انهوں,unho
پڑھے,parhay
ڈمپل,dimpledollhania
فان,faan
بهاءی,bhai
فضاؤں,fizaon
پحوٹو,photo
شیو,shio
پڑھو,parho
نمازیں,namazen
روکا,ruka
قرض,qarz
اجتماع,ijtama
بناتے,bnatay
تلوار,talwar
بڑھنے,barrhnay
چاندی,chandni
انوارڈ,inward
سوچتے,sochte
بارے,baray
پہرا,pehra
عرب,arab
مرتے,marte
پي,p
کوش,koshish
حا,ha
خطا,khata
شیر,shair
دھو,dho
سکن,skin
اتری,utri
علیکم,alaikum
ہیللو,hello
کچه,kuch
سیاست,syast
چلے,chale
ڈساسٹر,disaster
مفت,muft
میک,mic
کمرے,kamray
اکیلا,akela
مچانے,machane
آدھ,adha
ہونڈا,dhonda
لانگ,lang
بارڈی,bardigat
ابتدا,ibteda
گہرا,gahra
نکلتا,nikalta
راضی,razi
حنین,hunain
آخرت,akhrat
ہوتی,hoti
جاو,jao
پریم,premnagar
ریا,re
حدیث,hadees
سونے,sone
خارش,kharish
زید,z
نکاح,nikah
لفظوں,lafzon
شولا,shola
سلفی,salfi
ادا,ada
کوانٹٹي,quantity
کای,kai
نوری,nooriparihi
ڈسسارڈ,discard
لی,li
رحیم,rahimyarkhan
لوں,loon
غروب,ghuroob
چکوال,chakwal
هاتہ,hat
حدوں,hadon
گلسسسس,glasses
رشتوں,rishton
پہل,pehl
پڑھاتے,parhatey
الٹ,ult
اڑاتی,urraati
چال,chal
قید,qaid
غریبی,gharibai
ضیا,zia
میاں,mai
رومیوں,ro0mio
پیاس,piyas
کھیلنے,khailne
گيي,guy
کروں,kron
سومرو,soomro
کوفے,cofethanks
پارک,park
انجام,anjam
جسکا,jiska
ھونے,hone
لوہا,loha
ہائی,hi
قول,qoul
اندھیرا,andhera
جمیل,jameelin
السو,also
ہنا,hena
بدلنے,badalne
بجھے,bujhe
بنا,bna
بح,bhai
آنسوں,†ansuon
فنکار,funkar
اسود,aswad3stars
گجراتی,gujratimunde
يو,you
مررور,mirror
آرزو,aarzo
تار,taar
ممتاز,mumtaz
بولڈنگ,building
پریہ,prea
ویرانی,wearani
يمير,umair
پیار,pyar
پیشاب,pishab
ہووے,howe
لانگياج,language
پٹھان,pathan
دکھوں,dukhon
لگے,lage
نادم,nadim
پرے,pre
قہقہے,qehqahey
گلی,gali
لولی,lovly
دلایا,dilaya
حسبند,husband
ہیرا,heera
باقی,baqi
گلاب,gulab
قرآنی,qurani
ماسٹر,mastergee
دھڑکتا,dharakta
جاگنے,jagne
شانوں,shanon
لاڈلا,laadlaa
افسران,afsaraan
صندوق,sandooq
ليکن,lekin
ارادہ,irada
بتانے,btany
دیدو,dedo
وسلم,w
بہنیں,bahnen
دعوت,dawat
پرچم,percham
مارے,mary
رشتے,rishte
هنگری,hungry
بوک,book
انتخاب,intikhab
شوہر,shohar
ض,zia
چنگا,changa
تمہارا,tumhara
پکٹير,picture
نشان,nishaan
سچول,school
ڈاڈ,dad
تھیوری,theory
مانگنے,mangne
گزارنے,guzarny
مسٹ,must
تیرا,tera
ہو,ho
بھولنے,bhoolne
اسلامک,islamic
گونگے,g0onge
چینی,cheeniwo
کامی,kami
ملے,mile
مرض,marz
عرفان,irfan
يا,ya
بنانا,banana
حوپي,hope
کوڑا,kora
٤٠,40
ناه,nah
کاکا,kaka
راہوں,raahon
روم,room
دج,dj
سون,son
والا,wala
ٹوٹی,tooti
پریشان,pareshan
جمپ,jump
اسايلٹ,assault
انٹرو,intro
دیں,din
پلانے,pelane
باوجود,bawajod
لباب,lubaba
تحریر,tehreer
ٹوٹ,toot
حانڈريڈ,hundred
ڈھونڈ,dhond
جنازے,janaze
اضافہ,izafa
ہےکے,he
زهیر,zaher
موست,most
پختونخواہ,pkhtoon
فرشتے,farishte
بھاگنے,bhaagny
وقاص,waqas
زخم,zakhm
نيک,neck
ڈال,dal
طریقے,tareke
امتیاز,imtiaz
جاؤں,jaon
بولا,bola
تبديل,tabdeel
زور,zor
بہا,baha
جذبوں,jazbo
عشق,ishq
مذاق,mazaq
سلیم,slim
جوتی,joti
سوچوں,sochon
ماما,mama
میرا,mera
محسوس,mehsus
مرا,mara
ہمت,himt
ضرورت,zarurat
چلنا,chalna
دیتا,deta
چشم,chashm
لوسٹ,lost
نهیں,nhi
دعوے,daway
نبض,nabz
و,o
نہیں,nhi
کانٹے,kantay
فقیر,faqeer
مثل,misl
معافی,mafi
ہا,hahaha
سرسری,sarsari
اشارہ,ishara
ناگن,nagan
سوچ,soch
عیب,aaib
انليس,unless
چپکے,chupke
بابی,baby
ییہ,ye
وقت,waqt
مجبور,majboor
انکوري,inquiry
تمام,tamam
سے,se
سلپ,slip
توتی,toti
استاد,ustad
فضول,fazol
دکھانا,dekhana
موحسن,mohsin
گنوا,ganwa
اٹھ,uth
لگوا,lagwa
مجبوری,majbori
ٹونکل,twinkle
زنی,zani
نیوزی,newzeland
جنيد,junaid
جنوري,january
اصلیت,asliat
پھرنے,phirne
منانا,manana
سميل,smell
یاروں,yaro
ونير,owner
فيل,fail
اٹوٹ,atoot
بچاؤ,bachao
بلال,bilal
رکھے,rakhe
کلیر,clear
ہاتھوں,hathon
فاک,face
سکت,sakt
تيل,tail
جاگ,jag
لپس,lips
افسانے,afsanay
آواز,awaz
جينيڈ,junaid
ہن,hn
دوستو,dosto
ذات,zaat
سيٹ,seat
رون,iron
سمیر,sameer
سارا,sara
والده,walda
الا,ula
کيي,key
تهی,thi
کرایا,karwaya
پہچانے,pohanchane
لؤگ,log
سبھا,subha
گندا,gnda
صلاح,sulah
فرحان,farhan
ایا,aya
